
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 6.9E-13
2 -0.1 -1.194E-11
3 -0.2 -2.227E-11
4 -0.3 -2.817E-11
5 -0.4 -2.738E-11
6 -0.5 -2.88E-11
7 -0.6 -2.82E-11
8 -0.7 -2.939E-11
9 -0.8 -2.811E-11
10 -0.9 -2.927E-11
11 -1 -2.98E-11
12 -1.1 -2.852E-11
13 -1.2 -2.922E-11
14 -1.3 -2.885E-11
15 -1.4 -2.661E-11
16 -1.5 -3.078E-11
17 -1.6 -2.742E-11
18 -1.7 -3.197E-11
19 -1.8 -3.097E-11
20 -1.9 -3.362E-11
21 -2 -3.272E-11
22 -2.1 -3.323E-11
23 -2.2 -3.139E-11
24 -2.3 -3.193E-11
25 -2.4 -3.166E-11
26 -2.5 -3.477E-11
27 -2.6 -3.206E-11
28 -2.7 -3.361E-11
29 -2.8 -3.469E-11
30 -2.9 -3.418E-11
31 -3 -3.33E-11
32 -3.1 -3.792E-11
33 -3.2 -3.429E-11
34 -3.3 -3.482E-11
35 -3.4 -3.63E-11
36 -3.5 -3.489E-11
37 -3.6 -3.5E-11
38 -3.7 -3.659E-11
39 -3.8 -3.39E-11
40 -3.9 -3.638E-11
41 -4 -3.854E-11
42 -4.1 -3.832E-11
43 -4.2 -3.85E-11
44 -4.3 -4.379E-11
45 -4.4 -4.012E-11
46 -4.5 -3.962E-11
47 -4.6 -4.133E-11
48 -4.7 -4.146E-11
49 -4.8 -4.165E-11
50 -4.9 -4.171E-11
51 -5 -4.182E-11
52 -5.1 -4.201E-11
53 -5.2 -4.327E-11
54 -5.3 -4.335E-11
55 -5.4 -4.246E-11
56 -5.5 -4.46E-11
57 -5.6 -4.45E-11
58 -5.7 -4.761E-11
59 -5.8 -4.712E-11
60 -5.9 -4.892E-11
61 -6 -4.779E-11
62 -6.1 -4.993E-11
63 -6.2 -4.71E-11
64 -6.3 -4.753E-11
65 -6.4 -4.953E-11
66 -6.5 -5.086E-11
67 -6.6 -4.957E-11
68 -6.7 -4.254E-11
69 -6.8 -5.388E-11
70 -6.9 -5.062E-11
71 -7 -5.347E-11
72 -7.1 -5.252E-11
73 -7.2 -5.195E-11
74 -7.3 -5.09E-11
75 -7.4 -5.274E-11
76 -7.5 -5.529E-11
77 -7.6 -5.503E-11
78 -7.7 -5.435E-11
79 -7.8 -5.371E-11
80 -7.9 -6.089E-11
81 -8 -5.56E-11
82 -8.1 -5.542E-11
83 -8.2 -5.714E-11
84 -8.3 -6.101E-11
85 -8.4 -5.813E-11
86 -8.5 -5.576E-11
87 -8.6 -6.317E-11
88 -8.7 -6.231E-11
89 -8.8 -6.114E-11
90 -8.9 -6.1E-11
91 -9 -6.419E-11
92 -9.1 -5.393E-11
93 -9.2 -6.315E-11
94 -9.3 -6.202E-11
95 -9.4 -6.941E-11
96 -9.5 -6.813E-11
97 -9.6 -6.858E-11
98 -9.7 -6.806E-11
99 -9.8 -6.641E-11
100 -9.9 -6.76E-11
101 -10 -6.703E-11
102 -10.1 -7.051E-11
103 -10.2 -7.034E-11
104 -10.3 -7.324E-11
105 -10.4 -6.645E-11
106 -10.5 -7.178E-11
107 -10.6 -7.396E-11
108 -10.7 -7.056E-11
109 -10.8 -6.78E-11
110 -10.9 -7.679E-11
111 -11 -7.435E-11
112 -11.1 -7.543E-11
113 -11.2 -7.699E-11
114 -11.3 -7.899E-11
115 -11.4 -7.674E-11
116 -11.5 -7.819E-11
117 -11.6 -8.021E-11
118 -11.7 -7.712E-11
119 -11.8 -7.902E-11
120 -11.9 -8.39E-11
121 -12 -7.547E-11
122 -12.1 -8.327E-11
123 -12.2 -8.937E-11
124 -12.3 -8.456E-11
125 -12.4 -8.615E-11
126 -12.5 -8.568E-11
127 -12.6 -8.55E-11
128 -12.7 -8.946E-11
129 -12.8 -8.922E-11
130 -12.9 -8.691E-11
131 -13 -8.829E-11
132 -13.1 -9.204E-11
133 -13.2 -8.799E-11
134 -13.3 -9.113E-11
135 -13.4 -9.311E-11
136 -13.5 -9.553E-11
137 -13.6 -9.342E-11
138 -13.7 -9.625E-11
139 -13.8 -9.769E-11
140 -13.9 -9.491E-11
141 -14 -9.57E-11
142 -14.1 -1.0166E-10
143 -14.2 -9.683E-11
144 -14.3 -1.0111E-10
145 -14.4 -1.0172E-10
146 -14.5 -1.0191E-10
147 -14.6 -1.0898E-10
148 -14.7 -1.0538E-10
149 -14.8 -1.0354E-10
150 -14.9 -1.1003E-10
151 -15 -1.0822E-10
152 -15.1 -1.1003E-10
153 -15.2 -1.0582E-10
154 -15.3 -1.0945E-10
155 -15.4 -1.1054E-10
156 -15.5 -1.185E-10
157 -15.6 -1.0512E-10
158 -15.7 -1.1694E-10
159 -15.8 -1.149E-10
160 -15.9 -1.2059E-10
161 -16 -1.2338E-10
162 -16.1 -1.1953E-10
163 -16.2 -1.2039E-10
164 -16.3 -1.1411E-10
165 -16.4 -1.2307E-10
166 -16.5 -1.2623E-10
167 -16.6 -1.2585E-10
168 -16.7 -1.2598E-10
169 -16.8 -1.2824E-10
170 -16.9 -1.2703E-10
171 -17 -1.2908E-10
172 -17.1 -1.2951E-10
173 -17.2 -1.3098E-10
174 -17.3 -1.2991E-10
175 -17.4 -1.3349E-10
176 -17.5 -1.2786E-10
177 -17.6 -1.3431E-10
178 -17.7 -1.3455E-10
179 -17.8 -1.3796E-10
180 -17.9 -1.4577E-10
181 -18 -1.3974E-10
182 -18.1 -1.4058E-10
183 -18.2 -1.3907E-10
184 -18.3 -1.3988E-10
185 -18.4 -1.4724E-10
186 -18.5 -1.4359E-10
187 -18.6 -1.469E-10
188 -18.7 -1.4573E-10
189 -18.8 -1.4589E-10
190 -18.9 -1.3999E-10
191 -19 -1.4885E-10
192 -19.1 -1.4932E-10
193 -19.2 -1.4901E-10
194 -19.3 -1.5434E-10
195 -19.4 -1.5346E-10
196 -19.5 -1.5368E-10
197 -19.6 -1.5705E-10
198 -19.7 -1.5591E-10
199 -19.8 -1.56E-10
200 -19.9 -1.6028E-10
201 -20 -1.6107E-10
202 -20.1 -1.6265E-10
203 -20.2 -1.6227E-10
204 -20.3 -1.632E-10
205 -20.4 -1.6923E-10
206 -20.5 -1.6905E-10
207 -20.6 -1.6895E-10
208 -20.7 -1.6796E-10
209 -20.8 -1.7217E-10
210 -20.9 -1.5783E-10
211 -21 -1.7218E-10
212 -21.1 -1.7854E-10
213 -21.2 -1.7504E-10
214 -21.3 -1.7801E-10
215 -21.4 -1.7931E-10
216 -21.5 -1.793E-10
217 -21.6 -1.7976E-10
218 -21.7 -1.8326E-10
219 -21.8 -1.8352E-10
220 -21.9 -1.863E-10
221 -22 -1.8518E-10
222 -22.1 -1.8728E-10
223 -22.2 -1.8898E-10
224 -22.3 -1.8144E-10
225 -22.4 -1.9482E-10
226 -22.5 -1.9628E-10
227 -22.6 -1.9572E-10
228 -22.7 -1.9453E-10
229 -22.8 -1.983E-10
230 -22.9 -1.9347E-10
231 -23 -2.0131E-10
232 -23.1 -1.9795E-10
233 -23.2 -2.0234E-10
234 -23.3 -2.0344E-10
235 -23.4 -2.0879E-10
236 -23.5 -2.0938E-10
237 -23.6 -2.0852E-10
238 -23.7 -2.1153E-10
239 -23.8 -2.1104E-10
240 -23.9 -2.1431E-10
241 -24 -2.1547E-10
242 -24.1 -2.1701E-10
243 -24.2 -2.1911E-10
244 -24.3 -2.1892E-10
245 -24.4 -2.2228E-10
246 -24.5 -2.2397E-10
247 -24.6 -2.2123E-10
248 -24.7 -2.2532E-10
249 -24.8 -2.3046E-10
250 -24.9 -2.2868E-10
251 -25 -2.2752E-10
252 -25.1 -2.3221E-10
253 -25.2 -2.3626E-10
254 -25.3 -2.3555E-10
255 -25.4 -2.3871E-10
256 -25.5 -2.3982E-10
257 -25.6 -2.4568E-10
258 -25.7 -2.4354E-10
259 -25.8 -2.4557E-10
260 -25.9 -2.4643E-10
261 -26 -2.4894E-10
262 -26.1 -2.5195E-10
263 -26.2 -2.5339E-10
264 -26.3 -2.544E-10
265 -26.4 -2.5781E-10
266 -26.5 -2.592E-10
267 -26.6 -2.6168E-10
268 -26.7 -2.6142E-10
269 -26.8 -2.6062E-10
270 -26.9 -2.6514E-10
271 -27 -2.7018E-10
272 -27.1 -2.7237E-10
273 -27.2 -2.694E-10
274 -27.3 -2.7398E-10
275 -27.4 -2.7723E-10
276 -27.5 -2.7551E-10
277 -27.6 -2.7981E-10
278 -27.7 -2.8238E-10
279 -27.8 -2.843E-10
280 -27.9 -2.8249E-10
281 -28 -2.8648E-10
282 -28.1 -2.8438E-10
283 -28.2 -2.9888E-10
284 -28.3 -2.9498E-10
285 -28.4 -2.9588E-10
286 -28.5 -2.9871E-10
287 -28.6 -3.0133E-10
288 -28.7 -3.0253E-10
289 -28.8 -3.0602E-10
290 -28.9 -3.0674E-10
291 -29 -3.1003E-10
292 -29.1 -3.1046E-10
293 -29.2 -3.1499E-10
294 -29.3 -3.2033E-10
295 -29.4 -3.1935E-10
296 -29.5 -3.2088E-10
