
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -5.8E-13
2 -0.1 -1.72E-12
3 -0.2 -1.75E-12
4 -0.3 -1.9E-12
5 -0.4 -1.96E-12
6 -0.5 -1.97E-12
7 -0.6 -2E-12
8 -0.7 -2.16E-12
9 -0.8 -2.2E-12
10 -0.9 -2.21E-12
11 -1 -2.27E-12
12 -1.1 -2.45E-12
13 -1.2 -2.5E-12
14 -1.3 -2.54E-12
15 -1.4 -2.57E-12
16 -1.5 -2.72E-12
17 -1.6 -2.81E-12
18 -1.7 -2.87E-12
19 -1.8 -3.03E-12
20 -1.9 -3.11E-12
21 -2 -3.15E-12
22 -2.1 -3.19E-12
23 -2.2 -3.33E-12
24 -2.3 -3.36E-12
25 -2.4 -3.42E-12
26 -2.5 -3.55E-12
27 -2.6 -3.7E-12
28 -2.7 -3.79E-12
29 -2.8 -3.82E-12
30 -2.9 -4.03E-12
31 -3 -4.08E-12
32 -3.1 -4.13E-12
33 -3.2 -4.31E-12
34 -3.3 -4.41E-12
35 -3.4 -4.48E-12
36 -3.5 -4.47E-12
37 -3.6 -4.75E-12
38 -3.7 -4.74E-12
39 -3.8 -4.78E-12
40 -3.9 -4.97E-12
41 -4 -5.06E-12
42 -4.1 -5.11E-12
43 -4.2 -5.31E-12
44 -4.3 -5.39E-12
45 -4.4 -5.41E-12
46 -4.5 -5.65E-12
47 -4.6 -5.73E-12
48 -4.7 -5.73E-12
49 -4.8 -5.98E-12
50 -4.9 -6.06E-12
51 -5 -6.06E-12
52 -5.1 -6.31E-12
53 -5.2 -6.41E-12
54 -5.3 -6.42E-12
55 -5.4 -6.62E-12
56 -5.5 -6.7E-12
57 -5.6 -6.77E-12
58 -5.7 -6.97E-12
59 -5.8 -7.06E-12
60 -5.9 -7.12E-12
61 -6 -7.29E-12
62 -6.1 -7.4E-12
63 -6.2 -7.48E-12
64 -6.3 -7.69E-12
65 -6.4 -7.81E-12
66 -6.5 -7.82E-12
67 -6.6 -8.04E-12
68 -6.7 -8.16E-12
69 -6.8 -8.19E-12
70 -6.9 -8.43E-12
71 -7 -8.54E-12
72 -7.1 -8.73E-12
73 -7.2 -8.81E-12
74 -7.3 -8.86E-12
75 -7.4 -9.05E-12
76 -7.5 -9.23E-12
77 -7.6 -9.28E-12
78 -7.7 -9.51E-12
