
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 5E-14
2 -0.1 -9.9E-13
3 -0.2 -1.29E-12
4 -0.3 -1.56E-12
5 -0.4 -1.61E-12
6 -0.5 -1.76E-12
7 -0.6 -1.81E-12
8 -0.7 -1.77E-12
9 -0.8 -1.95E-12
10 -0.9 -1.95E-12
11 -1 -2.17E-12
12 -1.1 -2.17E-12
13 -1.2 -2.34E-12
14 -1.3 -2.34E-12
15 -1.4 -2.38E-12
16 -1.5 -2.53E-12
17 -1.6 -2.57E-12
18 -1.7 -2.76E-12
19 -1.8 -2.77E-12
20 -1.9 -2.93E-12
21 -2 -2.95E-12
22 -2.1 -2.97E-12
23 -2.2 -3.16E-12
24 -2.3 -3.18E-12
25 -2.4 -3.34E-12
26 -2.5 -3.41E-12
27 -2.6 -3.57E-12
28 -2.7 -3.58E-12
29 -2.8 -3.61E-12
30 -2.9 -3.84E-12
31 -3 -3.81E-12
32 -3.1 -4.01E-12
33 -3.2 -4.06E-12
34 -3.3 -4.06E-12
35 -3.4 -4.26E-12
36 -3.5 -4.3E-12
37 -3.6 -4.53E-12
38 -3.7 -4.52E-12
39 -3.8 -4.7E-12
40 -3.9 -4.76E-12
41 -4 -4.8E-12
42 -4.1 -4.97E-12
43 -4.2 -5.01E-12
44 -4.3 -5.21E-12
45 -4.4 -5.27E-12
46 -4.5 -5.27E-12
47 -4.6 -5.47E-12
48 -4.7 -5.53E-12
49 -4.8 -5.72E-12
50 -4.9 -5.74E-12
51 -5 -5.78E-12
52 -5.1 -5.97E-12
53 -5.2 -6.05E-12
54 -5.3 -6.2E-12
55 -5.4 -6.26E-12
56 -5.5 -6.34E-12
57 -5.6 -6.48E-12
58 -5.7 -6.54E-12
59 -5.8 -6.74E-12
60 -5.9 -6.81E-12
61 -6 -6.94E-12
62 -6.1 -7.02E-12
63 -6.2 -7.06E-12
64 -6.3 -7.27E-12
65 -6.4 -7.31E-12
66 -6.5 -7.49E-12
67 -6.6 -7.6E-12
68 -6.7 -7.66E-12
69 -6.8 -7.78E-12
70 -6.9 -7.88E-12
71 -7 -8.06E-12
72 -7.1 -8.16E-12
73 -7.2 -8.15E-12
74 -7.3 -8.4E-12
75 -7.4 -8.44E-12
76 -7.5 -8.66E-12
77 -7.6 -8.74E-12
78 -7.7 -8.76E-12
79 -7.8 -9E-12
80 -7.9 -9.04E-12
81 -8 -9.26E-12
82 -8.1 -9.3E-12
83 -8.2 -9.51E-12
84 -8.3 -9.61E-12
85 -8.4 -9.65E-12
86 -8.5 -9.88E-12
87 -8.6 -9.99E-12
88 -8.7 -1.015E-11
89 -8.8 -1.028E-11
90 -8.9 -1.03E-11
91 -9 -1.055E-11
92 -9.1 -1.058E-11
93 -9.2 -1.08E-11
94 -9.3 -1.088E-11
95 -9.4 -1.102E-11
96 -9.5 -1.117E-11
97 -9.6 -1.119E-11
98 -9.7 -1.145E-11
99 -9.8 -1.154E-11
100 -9.9 -1.173E-11
101 -10 -1.185E-11
102 -10.1 -1.075E-11
103 -10.2 -1.083E-11
104 -10.3 -1.109E-11
105 -10.4 -1.105E-11
106 -10.5 -1.133E-11
107 -10.6 -1.162E-11
108 -10.7 -1.154E-11
109 -10.8 -1.183E-11
110 -10.9 -1.177E-11
111 -11 -1.205E-11
112 -11.1 -1.202E-11
113 -11.2 -1.236E-11
114 -11.3 -1.264E-11
115 -11.4 -1.26E-11
116 -11.5 -1.281E-11
117 -11.6 -1.291E-11
118 -11.7 -1.31E-11
119 -11.8 -1.344E-11
120 -11.9 -1.339E-11
121 -12 -1.366E-11
122 -12.1 -1.367E-11
123 -12.2 -1.386E-11
124 -12.3 -1.387E-11
125 -12.4 -1.423E-11
126 -12.5 -1.444E-11
127 -12.6 -1.447E-11
128 -12.7 -1.474E-11
129 -12.8 -1.473E-11
130 -12.9 -1.503E-11
131 -13 -1.535E-11
132 -13.1 -1.53E-11
133 -13.2 -1.565E-11
134 -13.3 -1.56E-11
135 -13.4 -1.589E-11
136 -13.5 -1.622E-11
137 -13.6 -1.611E-11
138 -13.7 -1.649E-11
139 -13.8 -1.641E-11
140 -13.9 -1.671E-11
141 -14 -1.711E-11
142 -14.1 -1.701E-11
143 -14.2 -1.738E-11
144 -14.3 -1.741E-11
145 -14.4 -1.766E-11
146 -14.5 -1.774E-11
147 -14.6 -1.801E-11
148 -14.7 -1.829E-11
149 -14.8 -1.826E-11
150 -14.9 -1.86E-11
151 -15 -1.86E-11
152 -15.1 -1.895E-11
153 -15.2 -1.922E-11
154 -15.3 -1.919E-11
155 -15.4 -1.961E-11
156 -15.5 -1.962E-11
157 -15.6 -1.99E-11
158 -15.7 -2.02E-11
159 -15.8 -2.026E-11
160 -15.9 -2.055E-11
