
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 4.2E-13
2 -0.1 3.1E-13
3 -0.2 -1.3E-13
4 -0.3 -3.5E-13
5 -0.4 -5.1E-13
6 -0.5 -3.9E-13
7 -0.6 -5.9E-13
8 -0.7 -6.9E-13
9 -0.8 -5.8E-13
10 -0.9 -7.3E-13
11 -1 -8.8E-13
12 -1.1 -1.03E-12
13 -1.2 -9.3E-13
14 -1.3 -1.06E-12
15 -1.4 -1.26E-12
16 -1.5 -1.41E-12
17 -1.6 -1.25E-12
18 -1.7 -1.45E-12
19 -1.8 -1.59E-12
20 -1.9 -1.46E-12
21 -2 -1.66E-12
22 -2.1 -1.83E-12
23 -2.2 -1.97E-12
24 -2.3 -1.85E-12
25 -2.4 -2.04E-12
26 -2.5 -2.2E-12
27 -2.6 -2.36E-12
28 -2.7 -2.24E-12
29 -2.8 -2.41E-12
30 -2.9 -2.56E-12
31 -3 -2.49E-12
32 -3.1 -2.63E-12
33 -3.2 -2.79E-12
34 -3.3 -2.99E-12
35 -3.4 -2.87E-12
36 -3.5 -3.03E-12
37 -3.6 -3.23E-12
38 -3.7 -3.38E-12
39 -3.8 -3.27E-12
40 -3.9 -3.42E-12
41 -4 -3.61E-12
42 -4.1 -3.79E-12
43 -4.2 -3.66E-12
44 -4.3 -3.86E-12
45 -4.4 -4.05E-12
46 -4.5 -3.95E-12
47 -4.6 -4.12E-12
48 -4.7 -4.27E-12
49 -4.8 -4.47E-12
50 -4.9 -4.37E-12
51 -5 -4.54E-12
52 -5.1 -4.74E-12
53 -5.2 -4.95E-12
54 -5.3 -4.8E-12
55 -5.4 -4.94E-12
56 -5.5 -5.19E-12
57 -5.6 -5.1E-12
58 -5.7 -5.26E-12
59 -5.8 -5.47E-12
60 -5.9 -5.67E-12
61 -6 -5.54E-12
62 -6.1 -5.71E-12
63 -6.2 -5.91E-12
64 -6.3 -6.13E-12
65 -6.4 -6E-12
66 -6.5 -6.19E-12
67 -6.6 -6.4E-12
68 -6.7 -6.33E-12
69 -6.8 -6.5E-12
70 -6.9 -6.7E-12
71 -7 -6.89E-12
72 -7.1 -6.82E-12
73 -7.2 -7.01E-12
74 -7.3 -7.21E-12
75 -7.4 -7.4E-12
76 -7.5 -7.33E-12
77 -7.6 -7.52E-12
78 -7.7 -7.68E-12
79 -7.8 -7.68E-12
80 -7.9 -7.85E-12
81 -8 -8.03E-12
82 -8.1 -8.24E-12
83 -8.2 -8.19E-12
84 -8.3 -8.37E-12
85 -8.4 -8.57E-12
86 -8.5 -8.48E-12
87 -8.6 -8.75E-12
88 -8.7 -8.96E-12
