
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -1.4E-13
2 -0.1 -2.86E-12
3 -0.2 -2.74E-12
4 -0.3 -2.81E-12
5 -0.4 -2.88E-12
6 -0.5 -2.91E-12
7 -0.6 -3.09E-12
8 -0.7 -3.29E-12
9 -0.8 -3.31E-12
10 -0.9 -3.3E-12
11 -1 -3.59E-12
12 -1.1 -3.65E-12
13 -1.2 -3.68E-12
14 -1.3 -3.74E-12
15 -1.4 -4.04E-12
16 -1.5 -4.09E-12
17 -1.6 -4.17E-12
18 -1.7 -4.21E-12
19 -1.8 -4.4E-12
20 -1.9 -4.51E-12
21 -2 -4.63E-12
22 -2.1 -4.72E-12
23 -2.2 -4.72E-12
24 -2.3 -4.95E-12
25 -2.4 -5.16E-12
26 -2.5 -5.32E-12
27 -2.6 -5.31E-12
28 -2.7 -5.56E-12
29 -2.8 -5.73E-12
30 -2.9 -5.88E-12
31 -3 -5.88E-12
32 -3.1 -5.93E-12
33 -3.2 -6.12E-12
34 -3.3 -6.38E-12
35 -3.4 -6.42E-12
36 -3.5 -6.54E-12
37 -3.6 -6.76E-12
38 -3.7 -6.9E-12
39 -3.8 -7.03E-12
40 -3.9 -7.1E-12
41 -4 -7.24E-12
42 -4.1 -7.44E-12
43 -4.2 -7.58E-12
44 -4.3 -7.71E-12
45 -4.4 -7.91E-12
46 -4.5 -7.92E-12
47 -4.6 -8.21E-12
48 -4.7 -8.37E-12
49 -4.8 -8.53E-12
50 -4.9 -8.66E-12
51 -5 -8.76E-12
52 -5.1 -8.84E-12
53 -5.2 -9.2E-12
54 -5.3 -9.24E-12
55 -5.4 -9.42E-12
56 -5.5 -9.6E-12
57 -5.6 -9.66E-12
58 -5.7 -9.86E-12
59 -5.8 -1.001E-11
60 -5.9 -1.032E-11
61 -6 -1.032E-11
62 -6.1 -1.038E-11
63 -6.2 -1.074E-11
64 -6.3 -1.095E-11
65 -6.4 -1.105E-11
66 -6.5 -1.112E-11
67 -6.6 -1.13E-11
68 -6.7 -1.169E-11
69 -6.8 -1.176E-11
70 -6.9 -1.2E-11
71 -7 -1.211E-11
72 -7.1 -1.222E-11
73 -7.2 -1.236E-11
74 -7.3 -1.268E-11
75 -7.4 -1.281E-11
76 -7.5 -1.306E-11
77 -7.6 -1.314E-11
78 -7.7 -1.332E-11
79 -7.8 -1.361E-11
80 -7.9 -1.384E-11
81 -8 -1.403E-11
82 -8.1 -1.412E-11
83 -8.2 -1.432E-11
84 -8.3 -1.465E-11
85 -8.4 -1.479E-11
86 -8.5 -1.497E-11
87 -8.6 -1.521E-11
88 -8.7 -1.526E-11
89 -8.8 -1.557E-11
90 -8.9 -1.58E-11
91 -9 -1.599E-11
92 -9.1 -1.609E-11
93 -9.2 -1.63E-11
94 -9.3 -1.662E-11
95 -9.4 -1.695E-11
96 -9.5 -1.699E-11
97 -9.6 -1.727E-11
98 -9.7 -1.758E-11
99 -9.8 -1.763E-11
100 -9.9 -1.794E-11
101 -10 -1.815E-11
102 -10.1 -1.821E-11
103 -10.2 -1.847E-11
104 -10.3 -1.714E-11
105 -10.4 -1.775E-11
106 -10.5 -1.775E-11
107 -10.6 -1.795E-11
108 -10.7 -1.828E-11
109 -10.8 -1.854E-11
110 -10.9 -1.89E-11
111 -11 -1.884E-11
112 -11.1 -1.915E-11
113 -11.2 -1.952E-11
114 -11.3 -1.977E-11
115 -11.4 -1.994E-11
116 -11.5 -2.005E-11
117 -11.6 -2.046E-11
118 -11.7 -2.074E-11
119 -11.8 -2.105E-11
120 -11.9 -2.122E-11
121 -12 -2.161E-11
122 -12.1 -2.144E-11
123 -12.2 -2.189E-11
124 -12.3 -2.22E-11
125 -12.4 -2.262E-11
126 -12.5 -2.285E-11
127 -12.6 -2.285E-11
128 -12.7 -2.319E-11
129 -12.8 -2.356E-11
130 -12.9 -2.382E-11
131 -13 -2.406E-11
132 -13.1 -2.404E-11
133 -13.2 -2.454E-11
134 -13.3 -2.477E-11
135 -13.4 -2.522E-11
136 -13.5 -2.56E-11
137 -13.6 -2.55E-11
138 -13.7 -2.594E-11
139 -13.8 -2.625E-11
140 -13.9 -2.663E-11
141 -14 -2.691E-11
142 -14.1 -2.691E-11
143 -14.2 -2.725E-11
144 -14.3 -2.77E-11
145 -14.4 -2.797E-11
146 -14.5 -2.823E-11
147 -14.6 -2.829E-11
148 -14.7 -2.868E-11
149 -14.8 -2.91E-11
150 -14.9 -2.963E-11
151 -15 -2.98E-11
152 -15.1 -2.975E-11
153 -15.2 -3.015E-11
154 -15.3 -3.065E-11
155 -15.4 -3.093E-11
156 -15.5 -3.101E-11
157 -15.6 -3.144E-11
158 -15.7 -3.178E-11
159 -15.8 -3.223E-11
160 -15.9 -3.252E-11
161 -16 -3.256E-11
162 -16.1 -3.305E-11
163 -16.2 -3.343E-11
164 -16.3 -3.38E-11
165 -16.4 -3.409E-11
166 -16.5 -3.427E-11
167 -16.6 -3.459E-11
168 -16.7 -3.507E-11
169 -16.8 -3.538E-11
170 -16.9 -3.576E-11
171 -17 -3.576E-11
172 -17.1 -3.628E-11
173 -17.2 -3.678E-11
174 -17.3 -3.708E-11
175 -17.4 -3.714E-11
176 -17.5 -3.767E-11
177 -17.6 -3.793E-11
178 -17.7 -3.854E-11
179 -17.8 -3.883E-11
180 -17.9 -3.887E-11
181 -18 -3.937E-11
182 -18.1 -3.995E-11
183 -18.2 -4.013E-11
184 -18.3 -4.066E-11
185 -18.4 -4.07E-11
186 -18.5 -4.121E-11
187 -18.6 -4.149E-11
188 -18.7 -4.204E-11
189 -18.8 -4.247E-11
190 -18.9 -4.252E-11
191 -19 -4.31E-11
192 -19.1 -4.345E-11
193 -19.2 -4.394E-11
194 -19.3 -4.445E-11
195 -19.4 -4.448E-11
196 -19.5 -4.496E-11
197 -19.6 -4.543E-11
198 -19.7 -4.577E-11
199 -19.8 -4.629E-11
200 -19.9 -4.637E-11
201 -20 -4.693E-11
202 -20.1 -4.737E-11
203 -20.2 -4.783E-11
204 -20.3 -4.828E-11
205 -20.4 -4.854E-11
206 -20.5 -4.889E-11
207 -20.6 -4.93E-11
208 -20.7 -4.998E-11
209 -20.8 -5.02E-11
210 -20.9 -5.043E-11
211 -21 -5.11E-11
212 -21.1 -5.124E-11
213 -21.2 -5.197E-11
214 -21.3 -5.194E-11
215 -21.4 -5.261E-11
216 -21.5 -5.307E-11
217 -21.6 -5.339E-11
218 -21.7 -5.386E-11
219 -21.8 -5.408E-11
220 -21.9 -5.466E-11
221 -22 -5.49E-11
222 -22.1 -5.563E-11
223 -22.2 -5.598E-11
224 -22.3 -5.617E-11
225 -22.4 -5.691E-11
226 -22.5 -5.731E-11
227 -22.6 -5.782E-11
228 -22.7 -5.838E-11
229 -22.8 -5.837E-11
230 -22.9 -5.915E-11
231 -23 -5.942E-11
232 -23.1 -6.014E-11
233 -23.2 -6.051E-11
234 -23.3 -6.078E-11
235 -23.4 -6.147E-11
236 -23.5 -6.204E-11
237 -23.6 -6.239E-11
238 -23.7 -6.294E-11
239 -23.8 -6.337E-11
240 -23.9 -6.398E-11
241 -24 -6.445E-11
242 -24.1 -6.493E-11
243 -24.2 -6.525E-11
244 -24.3 -6.567E-11
245 -24.4 -6.628E-11
246 -24.5 -6.68E-11
247 -24.6 -6.755E-11
248 -24.7 -6.797E-11
249 -24.8 -6.816E-11
250 -24.9 -6.884E-11
251 -25 -6.961E-11
252 -25.1 -6.996E-11
253 -25.2 -7.03E-11
254 -25.3 -7.094E-11
255 -25.4 -7.126E-11
256 -25.5 -7.241E-11
257 -25.6 -7.263E-11
258 -25.7 -7.322E-11
259 -25.8 -7.352E-11
260 -25.9 -7.464E-11
261 -26 -7.528E-11
262 -26.1 -7.659E-11
263 -26.2 -7.811E-11
264 -26.3 -8.158E-11
265 -26.4 -8.894E-11
266 -26.5 -1.0336E-10
267 -26.6 -1.2795E-10
268 -26.7 -1.6208E-10
269 -26.8 -2.0315E-10
270 -26.9 -2.5307E-10
271 -27 -3.13E-10
272 -27.1 -3.7907E-10
273 -27.2 -4.513E-10
274 -27.3 -5.5085E-10
275 -27.4 -6.5976E-10
276 -27.5 -7.8983E-10
277 -27.6 -9.6741E-10
278 -27.7 -1.17472E-09
279 -27.8 -1.40618E-09
280 -27.9 -1.70946E-09
281 -28 -2.06053E-09
282 -28.1 -2.49095E-09
283 -28.2 -3.01005E-09
284 -28.3 -3.62936E-09
285 -28.4 -4.41542E-09
286 -28.5 -5.29134E-09
287 -28.6 -6.36106E-09
288 -28.7 -7.62439E-09
289 -28.8 -9.23358E-09
290 -28.9 -1.103747E-08
291 -29 -1.30057E-08
292 -29.1 -1.54903E-08
