
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 3.5E-13
2 -0.1 -1.46E-12
3 -0.2 -1.8E-12
4 -0.3 -1.83E-12
5 -0.4 -1.98E-12
6 -0.5 -1.79E-12
7 -0.6 -2.13E-12
8 -0.7 -2.23E-12
9 -0.8 -2.08E-12
10 -0.9 -2.32E-12
11 -1 -2.56E-12
12 -1.1 -2.7E-12
13 -1.2 -2.52E-12
14 -1.3 -2.8E-12
15 -1.4 -3.01E-12
16 -1.5 -2.78E-12
17 -1.6 -2.99E-12
18 -1.7 -3.27E-12
19 -1.8 -3.48E-12
20 -1.9 -3.34E-12
21 -2 -3.6E-12
22 -2.1 -3.89E-12
23 -2.2 -3.66E-12
24 -2.3 -3.88E-12
25 -2.4 -4.13E-12
26 -2.5 -4.41E-12
27 -2.6 -4.18E-12
28 -2.7 -4.49E-12
29 -2.8 -4.71E-12
30 -2.9 -4.62E-12
31 -3 -4.86E-12
32 -3.1 -5.08E-12
33 -3.2 -5.01E-12
34 -3.3 -5.25E-12
35 -3.4 -5.53E-12
36 -3.5 -5.38E-12
37 -3.6 -5.72E-12
38 -3.7 -5.91E-12
39 -3.8 -6.11E-12
40 -3.9 -6.02E-12
41 -4 -6.32E-12
42 -4.1 -6.53E-12
43 -4.2 -6.38E-12
44 -4.3 -6.77E-12
45 -4.4 -6.96E-12
46 -4.5 -6.81E-12
47 -4.6 -7.07E-12
48 -4.7 -7.27E-12
49 -4.8 -7.24E-12
50 -4.9 -7.56E-12
51 -5 -7.81E-12
52 -5.1 -7.72E-12
53 -5.2 -8.07E-12
54 -5.3 -8.3E-12
55 -5.4 -8.17E-12
56 -5.5 -8.55E-12
57 -5.6 -8.74E-12
58 -5.7 -9.01E-12
59 -5.8 -8.91E-12
60 -5.9 -9.23E-12
61 -6 -9.49E-12
62 -6.1 -9.38E-12
63 -6.2 -9.74E-12
64 -6.3 -9.94E-12
65 -6.4 -9.88E-12
66 -6.5 -1.014E-11
67 -6.6 -1.052E-11
68 -6.7 -1.04E-11
69 -6.8 -1.072E-11
70 -6.9 -1.101E-11
71 -7 -1.093E-11
72 -7.1 -1.133E-11
73 -7.2 -1.156E-11
74 -7.3 -1.143E-11
75 -7.4 -1.183E-11
76 -7.5 -1.218E-11
77 -7.6 -1.202E-11
78 -7.7 -1.233E-11
79 -7.8 -1.257E-11
80 -7.9 -1.264E-11
81 -8 -1.29E-11
82 -8.1 -1.326E-11
83 -8.2 -1.324E-11
84 -8.3 -1.352E-11
85 -8.4 -1.382E-11
86 -8.5 -1.378E-11
87 -8.6 -1.414E-11
88 -8.7 -1.445E-11
89 -8.8 -1.438E-11
90 -8.9 -1.47E-11
91 -9 -1.508E-11
92 -9.1 -1.503E-11
93 -9.2 -1.53E-11
94 -9.3 -1.567E-11
95 -9.4 -1.565E-11
96 -9.5 -1.601E-11
97 -9.6 -1.636E-11
98 -9.7 -1.629E-11
99 -9.8 -1.661E-11
100 -9.9 -1.691E-11
101 -10 -1.688E-11
102 -10.1 -1.734E-11
103 -10.2 -1.762E-11
104 -10.3 -1.757E-11
105 -10.4 -1.791E-11
106 -10.5 -1.834E-11
107 -10.6 -1.825E-11
108 -10.7 -1.858E-11
109 -10.8 -1.892E-11
110 -10.9 -1.898E-11
111 -11 -1.931E-11
112 -11.1 -1.966E-11
113 -11.2 -1.967E-11
114 -11.3 -2.006E-11
115 -11.4 -2.038E-11
116 -11.5 -2.03E-11
117 -11.6 -2.074E-11
118 -11.7 -2.107E-11
119 -11.8 -2.101E-11
120 -11.9 -2.144E-11
121 -12 -2.187E-11
122 -12.1 -2.179E-11
123 -12.2 -2.218E-11
124 -12.3 -2.252E-11
125 -12.4 -2.26E-11
