
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 2.93E-12
2 -0.1 -1.74E-12
3 -0.2 -8.92E-12
4 -0.3 -1.714E-11
5 -0.4 -2.221E-11
6 -0.5 -2.423E-11
7 -0.6 -2.568E-11
8 -0.7 -2.484E-11
9 -0.8 -2.559E-11
10 -0.9 -2.582E-11
11 -1 -2.64E-11
12 -1.1 -2.595E-11
13 -1.2 -2.634E-11
14 -1.3 -2.665E-11
15 -1.4 -2.674E-11
16 -1.5 -2.681E-11
17 -1.6 -2.687E-11
18 -1.7 -2.802E-11
19 -1.8 -2.713E-11
20 -1.9 -2.795E-11
21 -2 -2.819E-11
22 -2.1 -2.858E-11
23 -2.2 -2.892E-11
24 -2.3 -2.915E-11
25 -2.4 -2.951E-11
26 -2.5 -2.977E-11
27 -2.6 -2.999E-11
28 -2.7 -3.021E-11
29 -2.8 -3.093E-11
30 -2.9 -3.104E-11
31 -3 -3.145E-11
32 -3.1 -3.18E-11
33 -3.2 -3.168E-11
34 -3.3 -3.267E-11
35 -3.4 -3.28E-11
36 -3.5 -3.311E-11
37 -3.6 -3.368E-11
38 -3.7 -3.376E-11
39 -3.8 -3.416E-11
40 -3.9 -3.399E-11
41 -4 -3.526E-11
42 -4.1 -3.547E-11
43 -4.2 -3.587E-11
44 -4.3 -3.553E-11
45 -4.4 -3.664E-11
46 -4.5 -3.685E-11
47 -4.6 -3.739E-11
48 -4.7 -3.732E-11
49 -4.8 -3.836E-11
50 -4.9 -3.847E-11
51 -5 -3.838E-11
52 -5.1 -3.913E-11
53 -5.2 -4.007E-11
54 -5.3 -4.043E-11
55 -5.4 -3.985E-11
56 -5.5 -4.145E-11
57 -5.6 -4.145E-11
58 -5.7 -4.176E-11
59 -5.8 -4.169E-11
60 -5.9 -4.295E-11
61 -6 -4.308E-11
62 -6.1 -4.294E-11
63 -6.2 -4.369E-11
64 -6.3 -4.497E-11
65 -6.4 -4.478E-11
66 -6.5 -4.475E-11
67 -6.6 -4.553E-11
68 -6.7 -4.665E-11
69 -6.8 -4.662E-11
70 -6.9 -4.659E-11
71 -7 -4.724E-11
72 -7.1 -4.852E-11
73 -7.2 -4.803E-11
74 -7.3 -4.885E-11
75 -7.4 -4.929E-11
76 -7.5 -5.04E-11
77 -7.6 -4.998E-11
78 -7.7 -5.08E-11
79 -7.8 -5.175E-11
80 -7.9 -5.189E-11
81 -8 -5.183E-11
82 -8.1 -5.269E-11
83 -8.2 -5.389E-11
84 -8.3 -5.403E-11
85 -8.4 -5.37E-11
86 -8.5 -5.482E-11
87 -8.6 -5.597E-11
88 -8.7 -5.592E-11
89 -8.8 -5.61E-11
90 -8.9 -5.689E-11
91 -9 -5.792E-11
92 -9.1 -5.755E-11
93 -9.2 -5.851E-11
94 -9.3 -5.904E-11
95 -9.4 -6.013E-11
96 -9.5 -5.972E-11
97 -9.6 -6.076E-11
98 -9.7 -6.176E-11
99 -9.8 -6.205E-11
100 -9.9 -6.207E-11
101 -10 -6.301E-11
102 -10.1 -6.405E-11
103 -10.2 -6.424E-11
104 -10.3 -6.435E-11
105 -10.4 -6.547E-11
106 -10.5 -6.632E-11
107 -10.6 -6.642E-11
108 -10.7 -6.656E-11
109 -10.8 -6.757E-11
110 -10.9 -6.869E-11
111 -11 -6.911E-11
112 -11.1 -6.923E-11
113 -11.2 -6.999E-11
114 -11.3 -7.104E-11
115 -11.4 -7.166E-11
116 -11.5 -7.143E-11
117 -11.6 -7.287E-11
118 -11.7 -7.319E-11
119 -11.8 -7.394E-11
120 -11.9 -7.422E-11
121 -12 -7.555E-11
122 -12.1 -7.597E-11
123 -12.2 -7.604E-11
124 -12.3 -7.696E-11
125 -12.4 -7.827E-11
126 -12.5 -7.871E-11
127 -12.6 -7.878E-11
128 -12.7 -7.995E-11
129 -12.8 -8.101E-11
130 -12.9 -8.143E-11
131 -13 -8.153E-11
132 -13.1 -8.256E-11
133 -13.2 -8.359E-11
134 -13.3 -8.42E-11
135 -13.4 -8.444E-11
136 -13.5 -8.593E-11
137 -13.6 -8.641E-11
138 -13.7 -8.724E-11
139 -13.8 -8.742E-11
140 -13.9 -8.9E-11
141 -14 -8.955E-11
142 -14.1 -9.016E-11
143 -14.2 -9.029E-11
144 -14.3 -9.193E-11
145 -14.4 -9.258E-11
146 -14.5 -9.338E-11
147 -14.6 -9.354E-11
148 -14.7 -9.53E-11
149 -14.8 -9.557E-11
150 -14.9 -9.653E-11
151 -15 -9.697E-11
152 -15.1 -9.83E-11
153 -15.2 -9.906E-11
154 -15.3 -9.962E-11
155 -15.4 -1.0011E-10
156 -15.5 -1.0163E-10
157 -15.6 -1.0247E-10
158 -15.7 -1.0267E-10
159 -15.8 -1.0425E-10
160 -15.9 -1.048E-10
161 -16 -1.0559E-10
162 -16.1 -1.0597E-10
163 -16.2 -1.0769E-10
164 -16.3 -1.0866E-10
165 -16.4 -1.094E-10
