
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -7.6E-13
2 -0.1 -4.35E-12
3 -0.2 -1.232E-11
4 -0.3 -2.031E-11
5 -0.4 -2.536E-11
6 -0.5 -2.689E-11
7 -0.6 -2.781E-11
8 -0.7 -2.803E-11
9 -0.8 -2.829E-11
10 -0.9 -2.798E-11
11 -1 -2.853E-11
12 -1.1 -2.865E-11
13 -1.2 -2.886E-11
14 -1.3 -2.845E-11
15 -1.4 -2.951E-11
16 -1.5 -2.92E-11
17 -1.6 -2.965E-11
18 -1.7 -2.986E-11
19 -1.8 -3.017E-11
20 -1.9 -3.02E-11
21 -2 -3.062E-11
22 -2.1 -3.107E-11
23 -2.2 -3.107E-11
24 -2.3 -3.149E-11
25 -2.4 -3.151E-11
26 -2.5 -3.209E-11
27 -2.6 -3.238E-11
28 -2.7 -3.252E-11
29 -2.8 -3.324E-11
30 -2.9 -3.376E-11
31 -3 -3.359E-11
32 -3.1 -3.421E-11
33 -3.2 -3.432E-11
34 -3.3 -3.489E-11
35 -3.4 -3.525E-11
36 -3.5 -3.541E-11
37 -3.6 -3.631E-11
38 -3.7 -3.621E-11
39 -3.8 -3.613E-11
40 -3.9 -3.674E-11
41 -4 -3.752E-11
42 -4.1 -3.794E-11
43 -4.2 -3.761E-11
44 -4.3 -3.841E-11
45 -4.4 -3.922E-11
46 -4.5 -3.945E-11
47 -4.6 -3.934E-11
48 -4.7 -3.978E-11
49 -4.8 -4.092E-11
50 -4.9 -4.097E-11
51 -5 -4.086E-11
52 -5.1 -4.151E-11
53 -5.2 -4.239E-11
54 -5.3 -4.277E-11
55 -5.4 -4.244E-11
56 -5.5 -4.356E-11
57 -5.6 -4.368E-11
58 -5.7 -4.409E-11
59 -5.8 -4.427E-11
60 -5.9 -4.548E-11
61 -6 -4.567E-11
62 -6.1 -4.578E-11
63 -6.2 -4.681E-11
64 -6.3 -4.693E-11
65 -6.4 -4.725E-11
66 -6.5 -4.79E-11
67 -6.6 -4.837E-11
68 -6.7 -4.877E-11
69 -6.8 -4.929E-11
70 -6.9 -4.975E-11
71 -7 -5.033E-11
72 -7.1 -5.065E-11
73 -7.2 -5.12E-11
74 -7.3 -5.136E-11
75 -7.4 -5.232E-11
76 -7.5 -5.347E-11
77 -7.6 -5.26E-11
78 -7.7 -5.356E-11
79 -7.8 -5.446E-11
80 -7.9 -5.464E-11
81 -8 -5.506E-11
82 -8.1 -5.554E-11
83 -8.2 -5.647E-11
84 -8.3 -5.69E-11
85 -8.4 -5.656E-11
86 -8.5 -5.764E-11
87 -8.6 -5.843E-11
88 -8.7 -5.867E-11
89 -8.8 -5.929E-11
90 -8.9 -5.922E-11
91 -9 -6.031E-11
92 -9.1 -6.079E-11
93 -9.2 -6.176E-11
94 -9.3 -6.097E-11
95 -9.4 -6.299E-11
96 -9.5 -6.289E-11
97 -9.6 -6.361E-11
98 -9.7 -6.449E-11
99 -9.8 -6.429E-11
100 -9.9 -6.479E-11
101 -10 -6.6E-11
102 -10.1 -6.653E-11
103 -10.2 -6.673E-11
104 -10.3 -6.756E-11
105 -10.4 -6.79E-11
106 -10.5 -6.915E-11
107 -10.6 -6.961E-11
108 -10.7 -6.927E-11
109 -10.8 -7.061E-11
110 -10.9 -7.139E-11
111 -11 -7.185E-11
112 -11.1 -7.188E-11
113 -11.2 -7.299E-11
114 -11.3 -7.373E-11
115 -11.4 -7.433E-11
116 -11.5 -7.465E-11
117 -11.6 -7.517E-11
118 -11.7 -7.608E-11
119 -11.8 -7.707E-11
120 -11.9 -7.729E-11
121 -12 -7.843E-11
122 -12.1 -7.819E-11
123 -12.2 -7.939E-11
124 -12.3 -7.962E-11
125 -12.4 -8.11E-11
126 -12.5 -8.079E-11
127 -12.6 -8.184E-11
128 -12.7 -8.276E-11
129 -12.8 -8.356E-11
130 -12.9 -8.405E-11
131 -13 -8.428E-11
132 -13.1 -8.531E-11
133 -13.2 -8.602E-11
134 -13.3 -8.711E-11
135 -13.4 -8.767E-11
136 -13.5 -8.809E-11
137 -13.6 -8.907E-11
138 -13.7 -9.007E-11
139 -13.8 -9.042E-11
140 -13.9 -9.179E-11
141 -14 -9.156E-11
142 -14.1 -9.264E-11
143 -14.2 -9.342E-11
144 -14.3 -9.449E-11
145 -14.4 -9.445E-11
146 -14.5 -9.551E-11
147 -14.6 -9.652E-11
148 -14.7 -9.763E-11
149 -14.8 -9.802E-11
150 -14.9 -9.812E-11
151 -15 -9.975E-11
152 -15.1 -1.0077E-10
153 -15.2 -1.0127E-10
154 -15.3 -1.0159E-10
155 -15.4 -1.0301E-10
156 -15.5 -1.0396E-10
157 -15.6 -1.0474E-10
158 -15.7 -1.0562E-10
159 -15.8 -1.0584E-10
160 -15.9 -1.0685E-10
161 -16 -1.0786E-10
162 -16.1 -1.0901E-10
163 -16.2 -1.0929E-10
164 -16.3 -1.1055E-10
165 -16.4 -1.112E-10
166 -16.5 -1.121E-10
167 -16.6 -1.128E-10
168 -16.7 -1.1392E-10
169 -16.8 -1.1489E-10
170 -16.9 -1.1559E-10
171 -17 -1.1834E-10
172 -17.1 -1.1816E-10
173 -17.2 -1.1976E-10
174 -17.3 -1.1939E-10
175 -17.4 -1.2058E-10
176 -17.5 -1.2248E-10
177 -17.6 -1.2235E-10
178 -17.7 -1.2476E-10
179 -17.8 -1.246E-10
180 -17.9 -1.2615E-10
181 -18 -1.2664E-10
182 -18.1 -1.2874E-10
183 -18.2 -1.2764E-10
184 -18.3 -1.304E-10
185 -18.4 -1.3033E-10
186 -18.5 -1.3243E-10
187 -18.6 -1.3209E-10
188 -18.7 -1.3411E-10
189 -18.8 -1.3432E-10
190 -18.9 -1.3609E-10
191 -19 -1.3705E-10
192 -19.1 -1.3721E-10
193 -19.2 -1.3894E-10
194 -19.3 -1.4012E-10
195 -19.4 -1.4091E-10
196 -19.5 -1.4135E-10
197 -19.6 -1.435E-10
198 -19.7 -1.4426E-10
199 -19.8 -1.4464E-10
200 -19.9 -1.4629E-10
201 -20 -1.478E-10
202 -20.1 -1.4759E-10
203 -20.2 -1.4963E-10
204 -20.3 -1.5022E-10
205 -20.4 -1.5195E-10
206 -20.5 -1.5225E-10
207 -20.6 -1.5421E-10
208 -20.7 -1.5509E-10
209 -20.8 -1.5557E-10
210 -20.9 -1.5751E-10
211 -21 -1.5866E-10
212 -21.1 -1.5892E-10
213 -21.2 -1.6082E-10
214 -21.3 -1.6147E-10
215 -21.4 -1.6282E-10
216 -21.5 -1.6359E-10
217 -21.6 -1.6562E-10
218 -21.7 -1.6665E-10
219 -21.8 -1.6701E-10
220 -21.9 -1.6938E-10
221 -22 -1.7051E-10
222 -22.1 -1.7062E-10
223 -22.2 -1.7247E-10
224 -22.3 -1.745E-10
225 -22.4 -1.7467E-10
226 -22.5 -1.7612E-10
227 -22.6 -1.7819E-10
228 -22.7 -1.7869E-10
229 -22.8 -1.7972E-10
230 -22.9 -1.8173E-10
231 -23 -1.8251E-10
232 -23.1 -1.8312E-10
233 -23.2 -1.8554E-10
234 -23.3 -1.8676E-10
235 -23.4 -1.8712E-10
236 -23.5 -1.8948E-10
237 -23.6 -1.9079E-10
238 -23.7 -1.9079E-10
239 -23.8 -1.9316E-10
240 -23.9 -1.949E-10
241 -24 -1.955E-10
242 -24.1 -1.9666E-10
243 -24.2 -1.9934E-10
244 -24.3 -1.9972E-10
245 -24.4 -2.0067E-10
246 -24.5 -2.0314E-10
247 -24.6 -2.0409E-10
248 -24.7 -2.0497E-10
249 -24.8 -2.0732E-10
250 -24.9 -2.0848E-10
251 -25 -2.0928E-10
252 -25.1 -2.1113E-10
253 -25.2 -2.1289E-10
254 -25.3 -2.1338E-10
255 -25.4 -2.1593E-10
256 -25.5 -2.1779E-10
257 -25.6 -2.1805E-10
258 -25.7 -2.2019E-10
259 -25.8 -2.2222E-10
260 -25.9 -2.2307E-10
261 -26 -2.244E-10
262 -26.1 -2.2698E-10
263 -26.2 -2.2795E-10
264 -26.3 -2.2893E-10
265 -26.4 -2.3159E-10
266 -26.5 -2.3277E-10
267 -26.6 -2.3382E-10
268 -26.7 -2.3602E-10
269 -26.8 -2.3779E-10
270 -26.9 -2.386E-10
271 -27 -2.4078E-10
272 -27.1 -2.4312E-10
273 -27.2 -2.4373E-10
274 -27.3 -2.4551E-10
275 -27.4 -2.4823E-10
276 -27.5 -2.4883E-10
277 -27.6 -2.5068E-10
278 -27.7 -2.5313E-10
279 -27.8 -2.5435E-10
280 -27.9 -2.5546E-10
281 -28 -2.5851E-10
282 -28.1 -2.6012E-10
283 -28.2 -2.6068E-10
284 -28.3 -2.6349E-10
285 -28.4 -2.6557E-10
286 -28.5 -2.6634E-10
287 -28.6 -2.6884E-10
288 -28.7 -2.7092E-10
289 -28.8 -2.7196E-10
290 -28.9 -2.7415E-10
291 -29 -2.7686E-10
292 -29.1 -2.7774E-10
293 -29.2 -2.7962E-10
294 -29.3 -2.8268E-10
295 -29.4 -2.8385E-10
296 -29.5 -2.8549E-10
297 -29.6 -2.8813E-10
298 -29.7 -2.9004E-10
299 -29.8 -2.9121E-10
300 -29.9 -2.9421E-10
301 -30 -2.9629E-10
302 -30.1 -2.9724E-10
303 -30.2 -3.0005E-10
304 -30.3 -3.0278E-10
305 -30.4 -3.0362E-10
306 -30.5 -3.0609E-10
307 -30.6 -3.09E-10
308 -30.7 -3.1022E-10
309 -30.8 -3.1231E-10
310 -30.9 -3.1562E-10
311 -31 -3.1703E-10
312 -31.1 -3.1881E-10
313 -31.2 -3.2192E-10
314 -31.3 -3.2397E-10
315 -31.4 -3.2549E-10
316 -31.5 -3.2899E-10
317 -31.6 -3.3104E-10
318 -31.7 -3.3227E-10
319 -31.8 -3.3568E-10
320 -31.9 -3.3834E-10
321 -32 -3.3965E-10
322 -32.1 -3.4261E-10
323 -32.2 -3.4558E-10
324 -32.3 -3.4715E-10
325 -32.4 -3.4976E-10
326 -32.5 -3.5337E-10
327 -32.6 -3.552E-10
328 -32.7 -3.5732E-10
329 -32.8 -3.6088E-10
330 -32.9 -3.6273E-10
331 -33 -3.6491E-10
332 -33.1 -3.6859E-10
333 -33.2 -3.7117E-10
334 -33.3 -3.7293E-10
335 -33.4 -3.7668E-10
336 -33.5 -3.7942E-10
337 -33.6 -3.8139E-10
338 -33.7 -3.8498E-10
339 -33.8 -3.8821E-10
340 -33.9 -3.9011E-10
341 -34 -3.9344E-10
342 -34.1 -3.9727E-10
343 -34.2 -3.9903E-10
344 -34.3 -4.0205E-10
345 -34.4 -4.0635E-10
346 -34.5 -4.0866E-10
347 -34.6 -4.1142E-10
348 -34.7 -4.1566E-10
349 -34.8 -4.1801E-10
350 -34.9 -4.209E-10
351 -35 -4.2511E-10
352 -35.1 -4.2784E-10
353 -35.2 -4.3067E-10
354 -35.3 -4.3502E-10
355 -35.4 -4.3858E-10
356 -35.5 -4.4112E-10
357 -35.6 -4.4566E-10
358 -35.7 -4.4953E-10
359 -35.8 -4.5204E-10
360 -35.9 -4.563E-10
361 -36 -4.6084E-10
362 -36.1 -4.6351E-10
363 -36.2 -4.674E-10
364 -36.3 -4.724E-10
365 -36.4 -4.7531E-10
366 -36.5 -4.7906E-10
367 -36.6 -4.8415E-10
368 -36.7 -4.8792E-10
369 -36.8 -4.9158E-10
370 -36.9 -4.9774E-10
371 -37 -5.044E-10
372 -37.1 -5.1042E-10
373 -37.2 -5.1871E-10
374 -37.3 -5.2512E-10
375 -37.4 -5.3066E-10
376 -37.5 -5.3997E-10
377 -37.6 -5.4858E-10
378 -37.7 -5.5933E-10
379 -37.8 -5.7137E-10
380 -37.9 -5.8448E-10
381 -38 -6.0023E-10
382 -38.1 -6.1578E-10
383 -38.2 -6.3318E-10
384 -38.3 -6.5123E-10
385 -38.4 -6.6963E-10
386 -38.5 -6.8819E-10
387 -38.6 -7.0748E-10
388 -38.7 -7.2684E-10
389 -38.8 -7.4626E-10
390 -38.9 -7.6759E-10
391 -39 -7.8939E-10
392 -39.1 -8.1304E-10
393 -39.2 -8.347E-10
394 -39.3 -8.5455E-10
395 -39.4 -8.7799E-10
396 -39.5 -8.9299E-10
397 -39.6 -9.3588E-10
398 -39.7 -9.573E-10
399 -39.8 -9.817E-10
400 -39.9 -1.00561E-09
401 -40 -1.0315E-09
402 -40.1 -1.05962E-09
403 -40.2 -1.08786E-09
404 -40.3 -1.11831E-09
405 -40.4 -1.15418E-09
406 -40.5 -1.19184E-09
407 -40.6 -1.22895E-09
408 -40.7 -1.26532E-09
409 -40.8 -1.30122E-09
410 -40.9 -1.33919E-09
411 -41 -1.37512E-09
412 -41.1 -1.41106E-09
413 -41.2 -1.44472E-09
414 -41.3 -1.4756E-09
415 -41.4 -1.50754E-09
416 -41.5 -1.54026E-09
417 -41.6 -1.57324E-09
418 -41.7 -1.61185E-09
419 -41.8 -1.64509E-09
420 -41.9 -1.687E-09
421 -42 -1.73098E-09
422 -42.1 -1.77278E-09
423 -42.2 -1.81857E-09
424 -42.3 -1.86668E-09
425 -42.4 -1.91633E-09
426 -42.5 -1.96428E-09
427 -42.6 -2.01187E-09
428 -42.7 -2.06177E-09
429 -42.8 -2.11319E-09
430 -42.9 -2.16137E-09
431 -43 -2.2065E-09
432 -43.1 -2.25123E-09
433 -43.2 -2.29866E-09
434 -43.3 -2.34241E-09
435 -43.4 -2.38935E-09
436 -43.5 -2.4466E-09
437 -43.6 -2.49636E-09
438 -43.7 -2.54462E-09
439 -43.8 -2.59966E-09
440 -43.9 -2.65996E-09
441 -44 -2.71867E-09
442 -44.1 -2.78051E-09
443 -44.2 -2.83746E-09
444 -44.3 -2.89966E-09
445 -44.4 -2.96101E-09
446 -44.5 -3.02279E-09
447 -44.6 -3.08368E-09
448 -44.7 -3.14438E-09
449 -44.8 -3.20134E-09
450 -44.9 -3.25874E-09
451 -45 -3.3165E-09
452 -45.1 -3.37785E-09
453 -45.2 -3.43249E-09
454 -45.3 -3.5017E-09
455 -45.4 -3.56827E-09
456 -45.5 -3.63771E-09
457 -45.6 -3.7109E-09
458 -45.7 -3.78899E-09
459 -45.8 -3.87152E-09
460 -45.9 -3.9539E-09
461 -46 -4.03732E-09
462 -46.1 -4.1236E-09
463 -46.2 -4.20776E-09
464 -46.3 -4.29743E-09
465 -46.4 -4.3977E-09
466 -46.5 -4.48818E-09
467 -46.6 -4.58519E-09
468 -46.7 -4.67171E-09
469 -46.8 -4.77432E-09
470 -46.9 -4.88161E-09
471 -47 -4.9868E-09
472 -47.1 -5.0963E-09
473 -47.2 -5.21054E-09
474 -47.3 -5.32531E-09
475 -47.4 -5.43831E-09
476 -47.5 -5.5401E-09
477 -47.6 -5.62634E-09
478 -47.7 -5.71795E-09
479 -47.8 -5.8132E-09
480 -47.9 -5.90016E-09
481 -48 -5.9769E-09
482 -48.1 -6.05631E-09
483 -48.2 -6.11577E-09
484 -48.3 -6.18586E-09
485 -48.4 -6.26231E-09
486 -48.5 -6.33008E-09
487 -48.6 -6.39507E-09
488 -48.7 -6.46125E-09
489 -48.8 -6.52991E-09
490 -48.9 -6.59642E-09
491 -49 -6.65245E-09
492 -49.1 -6.72544E-09
493 -49.2 -6.8162E-09
494 -49.3 -6.89487E-09
495 -49.4 -6.95724E-09
496 -49.5 -7.04041E-09
497 -49.6 -7.12174E-09
498 -49.7 -7.19808E-09
499 -49.8 -7.27388E-09
500 -49.9 -7.34767E-09
501 -50 -7.42339E-09
502 -50.1 -7.49282E-09
503 -50.2 -7.5657E-09
504 -50.3 -7.63318E-09
505 -50.4 -7.71275E-09
506 -50.5 -7.79257E-09
507 -50.6 -7.8709E-09
508 -50.7 -7.94587E-09
509 -50.8 -8.04285E-09
510 -50.9 -8.12999E-09
511 -51 -8.22394E-09
512 -51.1 -8.302E-09
513 -51.2 -8.39506E-09
514 -51.3 -8.5081E-09
515 -51.4 -8.60278E-09
516 -51.5 -8.70068E-09
517 -51.6 -8.79792E-09
518 -51.7 -8.88946E-09
519 -51.8 -8.986E-09
520 -51.9 -9.06786E-09
521 -52 -9.18449E-09
522 -52.1 -9.28759E-09
523 -52.2 -9.39627E-09
524 -52.3 -9.5019E-09
525 -52.4 -9.61566E-09
526 -52.5 -9.73182E-09
527 -52.6 -9.86182E-09
528 -52.7 -9.98513E-09
529 -52.8 -1.011211E-08
530 -52.9 -1.024603E-08
531 -53 -1.03564E-08
532 -53.1 -1.05084E-08
533 -53.2 -1.06502E-08
534 -53.3 -1.07508E-08
535 -53.4 -1.0888E-08
536 -53.5 -1.10779E-08
537 -53.6 -1.12501E-08
538 -53.7 -1.13718E-08
539 -53.8 -1.15232E-08
540 -53.9 -1.17043E-08
541 -54 -1.19034E-08
542 -54.1 -1.20878E-08
543 -54.2 -1.22857E-08
544 -54.3 -1.24784E-08
545 -54.4 -1.27067E-08
546 -54.5 -1.29525E-08
547 -54.6 -1.31647E-08
548 -54.7 -1.33912E-08
549 -54.8 -1.36586E-08
550 -54.9 -1.39687E-08
551 -55 -1.42565E-08
552 -55.1 -1.45494E-08
553 -55.2 -1.49089E-08
554 -55.3 -1.53112E-08
555 -55.4 -1.57374E-08
556 -55.5 -1.61695E-08
557 -55.6 -1.67164E-08
558 -55.7 -1.74089E-08
559 -55.8 -1.82562E-08
560 -55.9 -1.93306E-08
561 -56 -2.11808E-08
562 -56.1 -2.5719E-08
563 -56.2 -4.2948E-08
564 -56.3 -1.05516E-07
565 -56.4 -2.86781E-07
566 -56.5 -6.52171E-07
567 -56.6 -1.22511E-06
568 -56.7 -2.03184E-06
569 -56.8 -3.08537E-06
570 -56.9 -4.27943E-06
571 -57 -5.65453E-06
572 -57.1 -7.19576E-06
573 -57.2 -8.93593E-06
574 -57.3 -1.065891E-05
575 -57.4 -1.25625E-05
576 -57.5 -1.45658E-05
577 -57.6 -1.66349E-05
578 -57.7 -1.87916E-05
579 -57.8 -2.37485E-05
580 -57.9 -3.15602E-05
581 -58 -3.48302E-05
582 -58.1 -3.7956E-05
583 -58.2 -4.08058E-05
584 -58.3 -4.45524E-05
585 -58.4 -4.89985E-05
586 -58.5 -5.2857E-05
587 -58.6 -5.61505E-05
588 -58.7 -6.05222E-05
589 -58.8 -6.49136E-05
590 -58.9 -6.85352E-05
591 -59 -7.18702E-05
592 -59.1 -7.91333E-05
593 -59.2 -7.92567E-05
594 -59.3 -8.34536E-05
595 -59.4 -7.1805E-05
596 -59.5 -7.4599E-05
597 -59.6 -7.6284E-05
598 -59.7 -9.50317E-05
599 -59.8 -9.9993E-05
600 -59.9 -9.99929E-05
601 -60 -9.99929E-05
602 -60.1 -9.99926E-05
603 -60.2 -9.99927E-05
604 -60.3 -9.99929E-05
605 -60.4 -9.99929E-05
606 -60.5 -9.99929E-05
607 -60.6 -9.99926E-05
608 -60.7 -9.99927E-05
609 -60.8 -9.99927E-05
610 -60.9 -9.99928E-05
611 -61 -9.99929E-05
612 -61.1 -9.99929E-05
