
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 1.5E-12
2 -0.1 -2.93E-12
3 -0.2 -1.076E-11
4 -0.3 -1.897E-11
5 -0.4 -2.433E-11
6 -0.5 -2.604E-11
7 -0.6 -2.663E-11
8 -0.7 -2.714E-11
9 -0.8 -2.729E-11
10 -0.9 -2.694E-11
11 -1 -2.774E-11
12 -1.1 -2.772E-11
13 -1.2 -2.737E-11
14 -1.3 -2.785E-11
15 -1.4 -2.878E-11
16 -1.5 -2.833E-11
17 -1.6 -2.819E-11
18 -1.7 -2.893E-11
19 -1.8 -2.936E-11
20 -1.9 -2.905E-11
21 -2 -2.951E-11
22 -2.1 -3.035E-11
23 -2.2 -2.989E-11
24 -2.3 -3.039E-11
25 -2.4 -3.103E-11
26 -2.5 -3.118E-11
27 -2.6 -3.084E-11
28 -2.7 -3.14E-11
29 -2.8 -3.181E-11
30 -2.9 -3.239E-11
31 -3 -3.275E-11
32 -3.1 -3.283E-11
33 -3.2 -3.289E-11
34 -3.3 -3.38E-11
35 -3.4 -3.387E-11
36 -3.5 -3.374E-11
37 -3.6 -3.497E-11
38 -3.7 -3.514E-11
39 -3.8 -3.493E-11
40 -3.9 -3.529E-11
41 -4 -3.666E-11
42 -4.1 -3.615E-11
43 -4.2 -3.648E-11
44 -4.3 -3.707E-11
45 -4.4 -3.767E-11
46 -4.5 -3.732E-11
47 -4.6 -3.844E-11
48 -4.7 -3.858E-11
49 -4.8 -3.888E-11
50 -4.9 -3.94E-11
51 -5 -3.98E-11
52 -5.1 -3.962E-11
53 -5.2 -4.082E-11
54 -5.3 -4.093E-11
55 -5.4 -4.158E-11
56 -5.5 -4.225E-11
57 -5.6 -4.203E-11
58 -5.7 -4.271E-11
59 -5.8 -4.289E-11
60 -5.9 -4.396E-11
61 -6 -4.387E-11
62 -6.1 -4.426E-11
63 -6.2 -4.483E-11
64 -6.3 -4.578E-11
65 -6.4 -4.522E-11
66 -6.5 -4.619E-11
67 -6.6 -4.649E-11
68 -6.7 -4.701E-11
69 -6.8 -4.743E-11
70 -6.9 -4.787E-11
71 -7 -4.781E-11
72 -7.1 -4.933E-11
73 -7.2 -4.922E-11
74 -7.3 -4.904E-11
75 -7.4 -5.007E-11
76 -7.5 -5.108E-11
77 -7.6 -5.059E-11
78 -7.7 -5.161E-11
79 -7.8 -5.216E-11
80 -7.9 -5.218E-11
81 -8 -5.301E-11
82 -8.1 -5.347E-11
83 -8.2 -5.393E-11
84 -8.3 -5.461E-11
85 -8.4 -5.51E-11
86 -8.5 -5.5E-11
87 -8.6 -5.612E-11
88 -8.7 -5.666E-11
89 -8.8 -5.651E-11
90 -8.9 -5.752E-11
91 -9 -5.869E-11
92 -9.1 -5.805E-11
93 -9.2 -5.891E-11
94 -9.3 -5.978E-11
95 -9.4 -6.012E-11
96 -9.5 -6.059E-11
97 -9.6 -6.133E-11
98 -9.7 -6.187E-11
99 -9.8 -6.247E-11
100 -9.9 -6.262E-11
101 -10 -6.313E-11
102 -10.1 -6.422E-11
103 -10.2 -6.455E-11
104 -10.3 -6.466E-11
105 -10.4 -6.558E-11
106 -10.5 -6.644E-11
107 -10.6 -6.662E-11
108 -10.7 -6.745E-11
109 -10.8 -6.815E-11
110 -10.9 -6.845E-11
111 -11 -6.907E-11
112 -11.1 -6.985E-11
113 -11.2 -6.985E-11
114 -11.3 -7.139E-11
115 -11.4 -7.181E-11
116 -11.5 -7.177E-11
117 -11.6 -7.342E-11
118 -11.7 -7.379E-11
119 -11.8 -7.395E-11
120 -11.9 -7.475E-11
121 -12 -7.598E-11
122 -12.1 -7.622E-11
123 -12.2 -7.617E-11
124 -12.3 -7.719E-11
125 -12.4 -7.862E-11
126 -12.5 -7.874E-11
127 -12.6 -7.902E-11
128 -12.7 -8.006E-11
129 -12.8 -8.102E-11
130 -12.9 -8.193E-11
131 -13 -8.204E-11
132 -13.1 -8.229E-11
133 -13.2 -8.371E-11
134 -13.3 -8.435E-11
135 -13.4 -8.466E-11
136 -13.5 -8.588E-11
137 -13.6 -8.648E-11
138 -13.7 -8.68E-11
139 -13.8 -8.794E-11
140 -13.9 -8.886E-11
141 -14 -8.891E-11
142 -14.1 -9.022E-11
143 -14.2 -9.114E-11
144 -14.3 -9.22E-11
145 -14.4 -9.213E-11
146 -14.5 -9.295E-11
147 -14.6 -9.405E-11
148 -14.7 -9.468E-11
149 -14.8 -9.574E-11
150 -14.9 -9.578E-11
