
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -1.7E-12
2 -0.1 -6.9E-12
3 -0.2 -1.598E-11
4 -0.3 -2.3E-11
5 -0.4 -2.646E-11
6 -0.5 -2.693E-11
7 -0.6 -2.822E-11
8 -0.7 -2.819E-11
9 -0.8 -2.768E-11
10 -0.9 -2.801E-11
11 -1 -2.878E-11
12 -1.1 -2.811E-11
13 -1.2 -2.829E-11
14 -1.3 -2.9E-11
15 -1.4 -2.895E-11
16 -1.5 -2.909E-11
17 -1.6 -2.931E-11
18 -1.7 -2.988E-11
19 -1.8 -2.98E-11
20 -1.9 -2.993E-11
21 -2 -3.023E-11
22 -2.1 -3.123E-11
23 -2.2 -3.116E-11
24 -2.3 -3.126E-11
25 -2.4 -3.106E-11
26 -2.5 -3.23E-11
27 -2.6 -3.226E-11
28 -2.7 -3.222E-11
29 -2.8 -3.261E-11
30 -2.9 -3.359E-11
31 -3 -3.315E-11
32 -3.1 -3.362E-11
33 -3.2 -3.401E-11
34 -3.3 -3.44E-11
35 -3.4 -3.469E-11
36 -3.5 -3.527E-11
37 -3.6 -3.548E-11
38 -3.7 -3.595E-11
39 -3.8 -3.641E-11
40 -3.9 -3.598E-11
41 -4 -3.723E-11
42 -4.1 -3.758E-11
43 -4.2 -3.718E-11
44 -4.3 -3.811E-11
45 -4.4 -3.917E-11
46 -4.5 -3.853E-11
47 -4.6 -3.911E-11
48 -4.7 -3.959E-11
49 -4.8 -4.004E-11
50 -4.9 -4.054E-11
51 -5 -4.119E-11
52 -5.1 -4.086E-11
53 -5.2 -4.215E-11
54 -5.3 -4.231E-11
55 -5.4 -4.235E-11
56 -5.5 -4.341E-11
57 -5.6 -4.387E-11
58 -5.7 -4.341E-11
59 -5.8 -4.41E-11
60 -5.9 -4.526E-11
61 -6 -4.535E-11
62 -6.1 -4.555E-11
63 -6.2 -4.601E-11
64 -6.3 -4.697E-11
65 -6.4 -4.688E-11
66 -6.5 -4.762E-11
67 -6.6 -4.808E-11
68 -6.7 -4.93E-11
69 -6.8 -4.903E-11
70 -6.9 -4.925E-11
71 -7 -5.01E-11
72 -7.1 -5.059E-11
73 -7.2 -5.084E-11
74 -7.3 -5.14E-11
75 -7.4 -5.147E-11
76 -7.5 -5.285E-11
77 -7.6 -5.306E-11
78 -7.7 -5.289E-11
79 -7.8 -5.414E-11
80 -7.9 -5.487E-11
81 -8 -5.446E-11
82 -8.1 -5.523E-11
83 -8.2 -5.647E-11
84 -8.3 -5.656E-11
85 -8.4 -5.66E-11
86 -8.5 -5.767E-11
87 -8.6 -5.887E-11
88 -8.7 -5.838E-11
89 -8.8 -5.942E-11
90 -8.9 -5.983E-11
91 -9 -6.015E-11
92 -9.1 -6.105E-11
93 -9.2 -6.166E-11
94 -9.3 -6.162E-11
95 -9.4 -6.302E-11
96 -9.5 -6.317E-11
97 -9.6 -6.367E-11
98 -9.7 -6.435E-11
99 -9.8 -6.493E-11
100 -9.9 -6.547E-11
101 -10 -6.555E-11
102 -10.1 -6.694E-11
103 -10.2 -6.704E-11
104 -10.3 -6.743E-11
105 -10.4 -6.794E-11
106 -10.5 -6.967E-11
107 -10.6 -6.907E-11
108 -10.7 -6.963E-11
109 -10.8 -7.068E-11
110 -10.9 -7.165E-11
111 -11 -7.137E-11
112 -11.1 -7.251E-11
113 -11.2 -7.328E-11
114 -11.3 -7.359E-11
115 -11.4 -7.437E-11
116 -11.5 -7.502E-11
