
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 7E-14
2 -0.1 -1.037E-11
3 -0.2 -2.279E-11
4 -0.3 -2.465E-11
5 -0.4 -2.581E-11
6 -0.5 -2.937E-11
7 -0.6 -2.903E-11
8 -0.7 -3.866E-11
9 -0.8 -3.362E-11
10 -0.9 -2.135E-11
11 -1 -2.656E-11
12 -1.1 -2.871E-11
13 -1.2 -2.888E-11
14 -1.3 -2.983E-11
15 -1.4 -3.01E-11
16 -1.5 -3.366E-11
17 -1.6 -3.582E-11
18 -1.7 -3.438E-11
19 -1.8 -3.149E-11
20 -1.9 -3.228E-11
21 -2 -2.911E-11
22 -2.1 -3.219E-11
23 -2.2 -3.009E-11
24 -2.3 -3.307E-11
25 -2.4 -3.247E-11
26 -2.5 -3.458E-11
27 -2.6 -3.135E-11
28 -2.7 -3.755E-11
29 -2.8 -3.328E-11
30 -2.9 -3.356E-11
31 -3 -3.612E-11
32 -3.1 -3.164E-11
33 -3.2 -3.833E-11
34 -3.3 -3.793E-11
35 -3.4 -2.594E-11
36 -3.5 -3.788E-11
37 -3.6 -3.952E-11
38 -3.7 -3.752E-11
39 -3.8 -2.496E-11
40 -3.9 -3.323E-11
41 -4 -3.706E-11
42 -4.1 -3.832E-11
43 -4.2 -3.848E-11
44 -4.3 -4.027E-11
45 -4.4 -3.855E-11
46 -4.5 -5.277E-11
47 -4.6 -4.709E-11
48 -4.7 -4.059E-11
49 -4.8 -4.142E-11
50 -4.9 -4.294E-11
51 -5 -4.236E-11
52 -5.1 -4.263E-11
53 -5.2 -4.397E-11
54 -5.3 -4.274E-11
55 -5.4 -3.958E-11
56 -5.5 -4.792E-11
57 -5.6 -4.668E-11
58 -5.7 -4.178E-11
59 -5.8 -4.619E-11
60 -5.9 -4.781E-11
61 -6 -4.56E-11
62 -6.1 -4.56E-11
63 -6.2 -5.043E-11
64 -6.3 -5.112E-11
65 -6.4 -5.005E-11
66 -6.5 -5.345E-11
67 -6.6 -5.138E-11
68 -6.7 -5.107E-11
69 -6.8 -5.388E-11
70 -6.9 -5.244E-11
71 -7 -5.469E-11
72 -7.1 -5.316E-11
