
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 4E-13
2 -0.1 -1.52E-11
3 -0.2 -2.33E-11
4 -0.3 -3.216E-11
5 -0.4 -2.948E-11
6 -0.5 -2.578E-11
7 -0.6 -2.757E-11
8 -0.7 -3.236E-11
9 -0.8 -3.049E-11
10 -0.9 -2.878E-11
11 -1 -2.788E-11
12 -1.1 -2.973E-11
13 -1.2 -2.759E-11
14 -1.3 -2.937E-11
15 -1.4 -2.93E-11
16 -1.5 -1.93E-11
17 -1.6 -2.271E-11
18 -1.7 -3.339E-11
19 -1.8 -2.92E-11
20 -1.9 -3.053E-11
21 -2 -3.093E-11
22 -2.1 -3.154E-11
23 -2.2 -4.082E-11
24 -2.3 -4.226E-11
25 -2.4 -3.511E-11
26 -2.5 -3.042E-11
27 -2.6 -3.239E-11
28 -2.7 -3.337E-11
29 -2.8 -3.326E-11
30 -2.9 -3.452E-11
31 -3 -3.328E-11
32 -3.1 -3.257E-11
33 -3.2 -3.4E-11
34 -3.3 -3.656E-11
35 -3.4 -3.544E-11
36 -3.5 -2.849E-11
37 -3.6 -4.425E-11
38 -3.7 -4.269E-11
39 -3.8 -3.921E-11
40 -3.9 -3.817E-11
41 -4 -3.914E-11
42 -4.1 -4.008E-11
43 -4.2 -3.838E-11
44 -4.3 -4.221E-11
45 -4.4 -3.733E-11
46 -4.5 -4.033E-11
47 -4.6 -4.15E-11
48 -4.7 -4.04E-11
49 -4.8 -4.68E-11
50 -4.9 -4.186E-11
51 -5 -4.195E-11
52 -5.1 -4.313E-11
53 -5.2 -4.231E-11
54 -5.3 -4.327E-11
55 -5.4 -4.386E-11
56 -5.5 -4.67E-11
57 -5.6 -4.542E-11
58 -5.7 -4.41E-11
59 -5.8 -4.778E-11
60 -5.9 -4.702E-11
61 -6 -4.667E-11
62 -6.1 -4.836E-11
63 -6.2 -4.871E-11
64 -6.3 -5.41E-11
65 -6.4 -4.968E-11
66 -6.5 -4.297E-11
67 -6.6 -5.234E-11
68 -6.7 -5.031E-11
69 -6.8 -5.145E-11
70 -6.9 -5.245E-11
71 -7 -4.69E-11
72 -7.1 -5.068E-11
73 -7.2 -5.534E-11
74 -7.3 -5.237E-11
75 -7.4 -5.593E-11
76 -7.5 -4.428E-11
77 -7.6 -5.891E-11
78 -7.7 -5.866E-11
79 -7.8 -6.254E-11
80 -7.9 -5.193E-11
81 -8 -5.572E-11
82 -8.1 -5.914E-11
83 -8.2 -5.838E-11
84 -8.3 -5.814E-11
85 -8.4 -5.986E-11
86 -8.5 -6.072E-11
87 -8.6 -6.705E-11
88 -8.7 -6.072E-11
89 -8.8 -5.999E-11
90 -8.9 -6.116E-11
91 -9 -6.175E-11
92 -9.1 -6.406E-11
93 -9.2 -6.245E-11
94 -9.3 -6.787E-11
95 -9.4 -6.566E-11
96 -9.5 -6.728E-11
97 -9.6 -6.764E-11
98 -9.7 -6.737E-11
99 -9.8 -6.825E-11
100 -9.9 -6.905E-11
101 -10 -6.623E-11
102 -10.1 -7.115E-11
103 -10.2 -7.081E-11
104 -10.3 -7.241E-11
105 -10.4 -7.072E-11
106 -10.5 -6.999E-11
107 -10.6 -6.971E-11
108 -10.7 -7.504E-11
109 -10.8 -7.881E-11
110 -10.9 -6.933E-11
111 -11 -7.767E-11
112 -11.1 -7.221E-11
113 -11.2 -7.773E-11
114 -11.3 -7.842E-11
115 -11.4 -8.078E-11
116 -11.5 -7.501E-11
117 -11.6 -8.169E-11
118 -11.7 -7.95E-11
119 -11.8 -8.359E-11
120 -11.9 -8.217E-11
121 -12 -8.275E-11
122 -12.1 -8.61E-11
123 -12.2 -8.428E-11
124 -12.3 -8.494E-11
125 -12.4 -8.652E-11
126 -12.5 -8.608E-11
127 -12.6 -8.812E-11
128 -12.7 -9.241E-11
129 -12.8 -9.595E-11
130 -12.9 -8.711E-11
131 -13 -9.249E-11
132 -13.1 -9.043E-11
133 -13.2 -9.246E-11
134 -13.3 -9.309E-11
135 -13.4 -9.315E-11
136 -13.5 -9.308E-11
137 -13.6 -1.0007E-10
138 -13.7 -9.521E-11
139 -13.8 -9.764E-11
140 -13.9 -1.064E-10
141 -14 -9.605E-11
142 -14.1 -9.799E-11
143 -14.2 -1.0243E-10
144 -14.3 -1.0344E-10
145 -14.4 -1.0338E-10
146 -14.5 -1.0358E-10
147 -14.6 -1.0442E-10
148 -14.7 -1.0735E-10
149 -14.8 -1.0597E-10
150 -14.9 -1.0794E-10
151 -15 -1.0904E-10
152 -15.1 -1.0909E-10
