
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -4E-14
2 -0.1 -1.36E-11
3 -0.2 -2.329E-11
4 -0.3 -2.768E-11
5 -0.4 -3.19E-11
6 -0.5 -2.793E-11
7 -0.6 -2.586E-11
8 -0.7 -2.99E-11
9 -0.8 -2.074E-11
10 -0.9 -2.607E-11
11 -1 -3.011E-11
12 -1.1 -2.958E-11
13 -1.2 -4.116E-11
14 -1.3 -3.348E-11
15 -1.4 -3.197E-11
16 -1.5 -3.039E-11
17 -1.6 -2.968E-11
18 -1.7 -2.951E-11
19 -1.8 -2.943E-11
20 -1.9 -3.017E-11
21 -2 -3.079E-11
22 -2.1 -3.303E-11
23 -2.2 -3.249E-11
24 -2.3 -3.208E-11
25 -2.4 -3.223E-11
26 -2.5 -3.219E-11
27 -2.6 -3.432E-11
28 -2.7 -3.41E-11
29 -2.8 -3.175E-11
30 -2.9 -3.24E-11
31 -3 -3.47E-11
32 -3.1 -3.522E-11
33 -3.2 -3.456E-11
34 -3.3 -3.749E-11
35 -3.4 -3.709E-11
36 -3.5 -3.431E-11
37 -3.6 -3.572E-11
38 -3.7 -3.636E-11
39 -3.8 -3.37E-11
40 -3.9 -4.085E-11
41 -4 -3.897E-11
42 -4.1 -3.762E-11
43 -4.2 -3.781E-11
44 -4.3 -3.832E-11
45 -4.4 -3.971E-11
46 -4.5 -4.07E-11
47 -4.6 -3.875E-11
48 -4.7 -4.042E-11
49 -4.8 -2.952E-11
50 -4.9 -4.616E-11
51 -5 -4.232E-11
52 -5.1 -4.284E-11
53 -5.2 -4.399E-11
54 -5.3 -4.369E-11
55 -5.4 -4.483E-11
56 -5.5 -4.456E-11
57 -5.6 -4.539E-11
58 -5.7 -4.439E-11
59 -5.8 -4.427E-11
60 -5.9 -4.641E-11
61 -6 -4.882E-11
62 -6.1 -4.434E-11
63 -6.2 -4.534E-11
64 -6.3 -4.968E-11
65 -6.4 -5.106E-11
66 -6.5 -4.919E-11
67 -6.6 -4.906E-11
68 -6.7 -4.974E-11
69 -6.8 -5.14E-11
70 -6.9 -5.067E-11
71 -7 -5.191E-11
72 -7.1 -5.355E-11
73 -7.2 -5.376E-11
74 -7.3 -5.141E-11
75 -7.4 -5.428E-11
76 -7.5 -5.471E-11
77 -7.6 -5.399E-11
78 -7.7 -5.573E-11
79 -7.8 -5.736E-11
80 -7.9 -5.547E-11
81 -8 -5.65E-11
82 -8.1 -5.697E-11
83 -8.2 -5.61E-11
84 -8.3 -5.953E-11
85 -8.4 -5.878E-11
