
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -6.2E-13
2 -0.1 -3.6E-13
3 -0.2 -9.7E-13
4 -0.3 -9.6E-13
5 -0.4 -1.24E-12
6 -0.5 -1.48E-12
7 -0.6 -1.5E-12
8 -0.7 -1.8E-12
9 -0.8 -1.83E-12
10 -0.9 -2.13E-12
11 -1 -2.43E-12
12 -1.1 -2.46E-12
13 -1.2 -2.75E-12
14 -1.3 -2.77E-12
15 -1.4 -3.11E-12
16 -1.5 -3.34E-12
17 -1.6 -3.4E-12
18 -1.7 -3.78E-12
19 -1.8 -3.81E-12
20 -1.9 -4.14E-12
21 -2 -4.43E-12
22 -2.1 -4.5E-12
23 -2.2 -4.84E-12
24 -2.3 -4.92E-12
25 -2.4 -5.24E-12
26 -2.5 -5.63E-12
27 -2.6 -5.61E-12
28 -2.7 -5.99E-12
29 -2.8 -6.07E-12
30 -2.9 -6.5E-12
31 -3 -6.75E-12
32 -3.1 -6.85E-12
33 -3.2 -7.22E-12
34 -3.3 -7.35E-12
35 -3.4 -7.74E-12
36 -3.5 -8.08E-12
37 -3.6 -8.17E-12
38 -3.7 -8.53E-12
39 -3.8 -8.91E-12
40 -3.9 -8.98E-12
41 -4 -9.43E-12
42 -4.1 -9.52E-12
43 -4.2 -9.93E-12
44 -4.3 -1.029E-11
45 -4.4 -1.045E-11
46 -4.5 -1.084E-11
47 -4.6 -1.095E-11
48 -4.7 -1.126E-11
49 -4.8 -1.176E-11
50 -4.9 -1.182E-11
51 -5 -1.224E-11
52 -5.1 -1.258E-11
53 -5.2 -1.277E-11
54 -5.3 -1.317E-11
55 -5.4 -1.331E-11
56 -5.5 -1.368E-11
57 -5.6 -1.416E-11
58 -5.7 -1.427E-11
59 -5.8 -1.475E-11
60 -5.9 -1.516E-11
61 -6 -1.527E-11
62 -6.1 -1.572E-11
63 -6.2 -1.616E-11
64 -6.3 -1.627E-11
65 -6.4 -1.671E-11
66 -6.5 -1.687E-11
67 -6.6 -1.726E-11
68 -6.7 -1.778E-11
69 -6.8 -1.784E-11
70 -6.9 -1.836E-11
71 -7 -1.879E-11
72 -7.1 -1.896E-11
73 -7.2 -1.939E-11
74 -7.3 -1.985E-11
75 -7.4 -1.996E-11
76 -7.5 -2.054E-11
77 -7.6 -2.092E-11
78 -7.7 -2.106E-11
79 -7.8 -2.159E-11
80 -7.9 -2.204E-11
81 -8 -2.212E-11
82 -8.1 -2.264E-11
83 -8.2 -2.319E-11
84 -8.3 -2.332E-11
85 -8.4 -2.384E-11
86 -8.5 -2.427E-11
87 -8.6 -2.442E-11
88 -8.7 -2.489E-11
89 -8.8 -2.546E-11
