
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 7.7E-13
2 -0.1 -5.4E-13
3 -0.2 -7.1E-13
4 -0.3 -1E-12
5 -0.4 -2.92E-12
6 -0.5 -2.69E-12
7 -0.6 -2.71E-12
8 -0.7 -1.56E-12
9 -0.8 -1.69E-12
10 -0.9 -1.92E-12
11 -1 -2.27E-12
12 -1.1 -4.1E-12
13 -1.2 -4.03E-12
14 -1.3 -4E-12
15 -1.4 -2.89E-12
16 -1.5 -3E-12
17 -1.6 -3.23E-12
18 -1.7 -3.6E-12
19 -1.8 -5.52E-12
20 -1.9 -5.42E-12
21 -2 -5.5E-12
22 -2.1 -5.6E-12
23 -2.2 -4.46E-12
24 -2.3 -4.83E-12
25 -2.4 -5.08E-12
26 -2.5 -5.06E-12
27 -2.6 -5.44E-12
28 -2.7 -5.82E-12
29 -2.8 -5.74E-12
30 -2.9 -6.17E-12
31 -3 -6.58E-12
32 -3.1 -6.48E-12
33 -3.2 -6.94E-12
34 -3.3 -7.36E-12
35 -3.4 -7.74E-12
36 -3.5 -9.63E-12
37 -3.6 -9.59E-12
38 -3.7 -9.68E-12
39 -3.8 -8.59E-12
40 -3.9 -8.89E-12
41 -4 -9.19E-12
42 -4.1 -9.62E-12
43 -4.2 -1.161E-11
44 -4.3 -1.159E-11
45 -4.4 -1.178E-11
46 -4.5 -1.067E-11
47 -4.6 -1.086E-11
48 -4.7 -1.124E-11
49 -4.8 -1.165E-11
50 -4.9 -1.17E-11
51 -5 -1.209E-11
52 -5.1 -1.258E-11
53 -5.2 -1.257E-11
54 -5.3 -1.308E-11
55 -5.4 -1.35E-11
56 -5.5 -1.35E-11
57 -5.6 -1.401E-11
58 -5.7 -1.452E-11
59 -5.8 -1.496E-11
60 -5.9 -1.695E-11
61 -6 -1.689E-11
62 -6.1 -1.702E-11
63 -6.2 -1.603E-11
64 -6.3 -1.639E-11
65 -6.4 -1.668E-11
66 -6.5 -1.726E-11
67 -6.6 -1.727E-11
68 -6.7 -1.78E-11
69 -6.8 -1.826E-11
70 -6.9 -1.831E-11
71 -7 -1.882E-11
72 -7.1 -1.939E-11
73 -7.2 -1.937E-11
74 -7.3 -1.996E-11
75 -7.4 -2.045E-11
76 -7.5 -2.096E-11
77 -7.6 -2.288E-11
78 -7.7 -2.291E-11
79 -7.8 -2.187E-11
80 -7.9 -2.207E-11
81 -8 -2.248E-11
82 -8.1 -2.3E-11
83 -8.2 -2.359E-11
84 -8.3 -2.362E-11
85 -8.4 -2.42E-11
86 -8.5 -2.47E-11
87 -8.6 -2.485E-11
88 -8.7 -2.538E-11
89 -8.8 -2.59E-11
90 -8.9 -2.641E-11
91 -9 -2.84E-11
92 -9.1 -2.831E-11
93 -9.2 -2.732E-11
94 -9.3 -2.757E-11
95 -9.4 -2.814E-11
96 -9.5 -2.869E-11
97 -9.6 -2.921E-11
98 -9.7 -2.981E-11
99 -9.8 -3.168E-11
100 -9.9 -3.165E-11
101 -10 -3.067E-11
102 -10.1 -3.112E-11
103 -10.2 -3.167E-11
104 -10.3 -3.211E-11
105 -10.4 -3.273E-11
106 -10.5 -3.288E-11
107 -10.6 -3.346E-11
108 -10.7 -3.41E-11
109 -10.8 -3.416E-11
110 -10.9 -3.483E-11
111 -11 -3.534E-11
112 -11.1 -3.594E-11
113 -11.2 -3.792E-11
114 -11.3 -3.812E-11
115 -11.4 -3.839E-11
116 -11.5 -3.884E-11
117 -11.6 -3.793E-11
118 -11.7 -3.816E-11
119 -11.8 -3.926E-11
120 -11.9 -3.931E-11
121 -12 -3.993E-11
122 -12.1 -4.064E-11
123 -12.2 -4.11E-11
124 -12.3 -4.299E-11
125 -12.4 -4.324E-11
126 -12.5 -4.363E-11
127 -12.6 -4.279E-11
128 -12.7 -4.371E-11
129 -12.8 -4.548E-11
130 -12.9 -4.564E-11
131 -13 -4.613E-11
132 -13.1 -4.533E-11
133 -13.2 -4.621E-11
134 -13.3 -4.791E-11
135 -13.4 -4.826E-11
136 -13.5 -4.865E-11
137 -13.6 -4.778E-11
138 -13.7 -4.878E-11
139 -13.8 -4.876E-11
140 -13.9 -4.954E-11
141 -14 -5.026E-11
142 -14.1 -5.089E-11
143 -14.2 -5.115E-11
144 -14.3 -5.186E-11
145 -14.4 -5.242E-11
146 -14.5 -5.274E-11
147 -14.6 -5.34E-11
148 -14.7 -5.413E-11
149 -14.8 -5.433E-11
150 -14.9 -5.503E-11
151 -15 -5.57E-11
152 -15.1 -5.602E-11
153 -15.2 -5.673E-11
154 -15.3 -5.727E-11
155 -15.4 -5.768E-11
156 -15.5 -5.829E-11
157 -15.6 -5.904E-11
158 -15.7 -5.93E-11
159 -15.8 -6.009E-11
160 -15.9 -6.077E-11
161 -16 -6.132E-11
162 -16.1 -6.17E-11
163 -16.2 -6.255E-11
164 -16.3 -6.316E-11
165 -16.4 -6.35E-11
166 -16.5 -6.437E-11
167 -16.6 -6.5E-11
168 -16.7 -6.54E-11
169 -16.8 -6.6E-11
170 -16.9 -6.681E-11
171 -17 -6.711E-11
172 -17.1 -6.797E-11
173 -17.2 -6.862E-11
174 -17.3 -6.905E-11
175 -17.4 -6.977E-11
176 -17.5 -7.054E-11
177 -17.6 -7.097E-11
178 -17.7 -7.163E-11
179 -17.8 -7.23E-11
180 -17.9 -7.284E-11
181 -18 -7.356E-11
182 -18.1 -7.43E-11
183 -18.2 -7.474E-11
184 -18.3 -7.543E-11
185 -18.4 -7.624E-11
186 -18.5 -7.657E-11
187 -18.6 -7.733E-11
188 -18.7 -7.813E-11
189 -18.8 -7.863E-11
190 -18.9 -7.947E-11
191 -19 -8.027E-11
192 -19.1 -8.047E-11
193 -19.2 -8.139E-11
194 -19.3 -8.209E-11
195 -19.4 -8.291E-11
196 -19.5 -8.323E-11
197 -19.6 -8.427E-11
198 -19.7 -8.494E-11
199 -19.8 -8.538E-11
200 -19.9 -8.616E-11
201 -20 -8.708E-11
202 -20.1 -8.744E-11
203 -20.2 -8.816E-11
204 -20.3 -8.905E-11
205 -20.4 -8.956E-11
206 -20.5 -9.045E-11
207 -20.6 -9.11E-11
208 -20.7 -9.163E-11
209 -20.8 -9.254E-11
210 -20.9 -9.336E-11
211 -21 -9.381E-11
212 -21.1 -9.462E-11
213 -21.2 -9.558E-11
214 -21.3 -9.658E-11
215 -21.4 -9.681E-11
216 -21.5 -9.779E-11
217 -21.6 -9.862E-11
218 -21.7 -9.918E-11
219 -21.8 -1.0005E-10
220 -21.9 -1.0091E-10
221 -22 -1.0136E-10
222 -22.1 -1.0226E-10
223 -22.2 -1.0294E-10
224 -22.3 -1.0379E-10
225 -22.4 -1.0462E-10
226 -22.5 -1.0544E-10
227 -22.6 -1.0628E-10
228 -22.7 -1.0678E-10
229 -22.8 -1.0791E-10
230 -22.9 -1.0867E-10
231 -23 -1.0914E-10
232 -23.1 -1.1034E-10
233 -23.2 -1.1104E-10
234 -23.3 -1.1167E-10
235 -23.4 -1.127E-10
236 -23.5 -1.1344E-10
237 -23.6 -1.141E-10
238 -23.7 -1.1508E-10
239 -23.8 -1.1605E-10
240 -23.9 -1.1688E-10
241 -24 -1.175E-10
242 -24.1 -1.185E-10
243 -24.2 -1.194E-10
244 -24.3 -1.2005E-10
245 -24.4 -1.2113E-10
246 -24.5 -1.219E-10
247 -24.6 -1.2243E-10
248 -24.7 -1.2358E-10
249 -24.8 -1.2451E-10
250 -24.9 -1.2573E-10
251 -25 -1.2611E-10
252 -25.1 -1.2725E-10
253 -25.2 -1.2826E-10
254 -25.3 -1.2878E-10
255 -25.4 -1.3014E-10
256 -25.5 -1.3105E-10
257 -25.6 -1.3159E-10
258 -25.7 -1.3285E-10
259 -25.8 -1.3376E-10
260 -25.9 -1.3472E-10
261 -26 -1.3544E-10
262 -26.1 -1.3661E-10
263 -26.2 -1.3769E-10
264 -26.3 -1.3821E-10
265 -26.4 -1.3953E-10
266 -26.5 -1.4065E-10
267 -26.6 -1.4135E-10
268 -26.7 -1.4232E-10
269 -26.8 -1.4353E-10
270 -26.9 -1.4463E-10
271 -27 -1.4525E-10
272 -27.1 -1.4654E-10
273 -27.2 -1.4762E-10
274 -27.3 -1.4825E-10
275 -27.4 -1.4953E-10
276 -27.5 -1.5089E-10
277 -27.6 -1.5219E-10
278 -27.7 -1.5281E-10
279 -27.8 -1.5398E-10
280 -27.9 -1.5526E-10
281 -28 -1.559E-10
282 -28.1 -1.571E-10
283 -28.2 -1.5832E-10
284 -28.3 -1.5961E-10
285 -28.4 -1.6043E-10
286 -28.5 -1.6024E-10
287 -28.6 -1.6281E-10
288 -28.7 -1.6405E-10
289 -28.8 -1.6535E-10
290 -28.9 -1.6615E-10
291 -29 -1.6607E-10
292 -29.1 -1.6888E-10
293 -29.2 -1.7005E-10
294 -29.3 -1.7126E-10
295 -29.4 -1.7224E-10
296 -29.5 -1.7233E-10
297 -29.6 -1.7486E-10
298 -29.7 -1.7601E-10
299 -29.8 -1.7733E-10
300 -29.9 -1.7902E-10
301 -30 -1.7881E-10
302 -30.1 -1.814E-10
303 -30.2 -1.8323E-10
304 -30.3 -1.8403E-10
305 -30.4 -1.8431E-10
306 -30.5 -1.871E-10
307 -30.6 -1.885E-10
308 -30.7 -1.8818E-10
309 -30.8 -1.9139E-10
310 -30.9 -1.948E-10
311 -31 -1.973E-10
312 -31.1 -1.9858E-10
313 -31.2 -2.0246E-10
314 -31.3 -2.0514E-10
315 -31.4 -2.0703E-10
316 -31.5 -2.1186E-10
317 -31.6 -2.1687E-10
318 -31.7 -2.2005E-10
319 -31.8 -2.239E-10
320 -31.9 -2.3028E-10
321 -32 -2.3588E-10
322 -32.1 -2.4088E-10
323 -32.2 -2.5031E-10
324 -32.3 -2.5852E-10
325 -32.4 -2.6617E-10
326 -32.5 -2.7694E-10
327 -32.6 -2.8842E-10
328 -32.7 -2.9669E-10
329 -32.8 -3.0791E-10
330 -32.9 -3.1898E-10
331 -33 -3.2806E-10
332 -33.1 -3.3811E-10
333 -33.2 -3.4984E-10
334 -33.3 -3.5891E-10
335 -33.4 -3.6881E-10
336 -33.5 -3.8066E-10
337 -33.6 -3.9038E-10
338 -33.7 -3.9979E-10
339 -33.8 -4.1201E-10
340 -33.9 -4.2269E-10
341 -34 -4.3292E-10
342 -34.1 -4.4651E-10
343 -34.2 -4.6015E-10
344 -34.3 -4.7198E-10
345 -34.4 -4.8581E-10
346 -34.5 -5.0179E-10
347 -34.6 -5.1423E-10
348 -34.7 -5.2815E-10
349 -34.8 -5.4392E-10
350 -34.9 -5.5679E-10
351 -35 -5.6964E-10
352 -35.1 -5.8402E-10
353 -35.2 -5.9539E-10
354 -35.3 -6.0692E-10
355 -35.4 -6.1984E-10
356 -35.5 -6.3143E-10
357 -35.6 -6.4172E-10
358 -35.7 -6.5426E-10
359 -35.8 -6.6654E-10
360 -35.9 -6.7676E-10
361 -36 -6.8926E-10
362 -36.1 -7.0129E-10
363 -36.2 -7.1134E-10
364 -36.3 -7.224E-10
365 -36.4 -7.3584E-10
366 -36.5 -7.4576E-10
367 -36.6 -7.5688E-10
368 -36.7 -7.6941E-10
369 -36.8 -7.8121E-10
370 -36.9 -7.915E-10
371 -37 -8.0462E-10
372 -37.1 -8.1614E-10
373 -37.2 -8.2719E-10
374 -37.3 -8.3974E-10
375 -37.4 -8.6155E-10
376 -37.5 -8.8308E-10
377 -37.6 -8.8817E-10
378 -37.7 -8.9308E-10
379 -37.8 -8.9849E-10
380 -37.9 -9.3567E-10
381 -38 -9.4317E-10
382 -38.1 -9.4789E-10
383 -38.2 -9.5289E-10
384 -38.3 -9.6034E-10
385 -38.4 -9.6727E-10
386 -38.5 -1.01448E-09
387 -38.6 -1.03259E-09
388 -38.7 -1.04694E-09
389 -38.8 -1.05564E-09
390 -38.9 -1.06214E-09
391 -39 -1.06859E-09
392 -39.1 -1.07926E-09
393 -39.2 -1.0881E-09
394 -39.3 -1.09857E-09
395 -39.4 -1.10881E-09
396 -39.5 -1.12369E-09
397 -39.6 -1.14322E-09
398 -39.7 -1.16578E-09
399 -39.8 -1.19086E-09
400 -39.9 -1.21467E-09
401 -40 -1.23772E-09
402 -40.1 -1.26311E-09
403 -40.2 -1.28768E-09
404 -40.3 -1.31006E-09
405 -40.4 -1.32907E-09
406 -40.5 -1.34299E-09
407 -40.6 -1.35577E-09
408 -40.7 -1.36738E-09
409 -40.8 -1.37951E-09
410 -40.9 -1.39407E-09
411 -41 -1.4091E-09
412 -41.1 -1.42426E-09
413 -41.2 -1.44335E-09
414 -41.3 -1.46848E-09
415 -41.4 -1.4973E-09
416 -41.5 -1.52739E-09
417 -41.6 -1.55735E-09
418 -41.7 -1.58694E-09
419 -41.8 -1.61724E-09
420 -41.9 -1.64538E-09
421 -42 -1.67277E-09
422 -42.1 -1.69328E-09
423 -42.2 -1.7072E-09
424 -42.3 -1.71805E-09
425 -42.4 -1.73056E-09
426 -42.5 -1.74083E-09
427 -42.6 -1.7523E-09
428 -42.7 -1.76412E-09
429 -42.8 -1.77649E-09
430 -42.9 -1.79149E-09
431 -43 -1.81059E-09
432 -43.1 -1.83284E-09
433 -43.2 -1.85795E-09
434 -43.3 -1.88115E-09
435 -43.4 -1.90348E-09
436 -43.5 -1.92782E-09
437 -43.6 -1.9501E-09
438 -43.7 -1.97175E-09
439 -43.8 -1.98917E-09
440 -43.9 -2.00229E-09
441 -44 -2.01253E-09
442 -44.1 -2.02146E-09
443 -44.2 -2.03142E-09
444 -44.3 -2.04309E-09
445 -44.4 -2.05449E-09
446 -44.5 -2.06655E-09
447 -44.6 -2.08217E-09
448 -44.7 -2.10259E-09
449 -44.8 -2.12695E-09
450 -44.9 -2.15232E-09
451 -45 -2.17701E-09
452 -45.1 -2.20267E-09
453 -45.2 -2.22804E-09
454 -45.3 -2.25258E-09
455 -45.4 -2.27819E-09
456 -45.5 -2.29652E-09
457 -45.6 -2.31159E-09
458 -45.7 -2.32368E-09
459 -45.8 -2.33881E-09
460 -45.9 -2.35204E-09
461 -46 -2.3663E-09
462 -46.1 -2.38076E-09
463 -46.2 -2.39743E-09
464 -46.3 -2.41626E-09
465 -46.4 -2.44012E-09
466 -46.5 -2.46796E-09
467 -46.6 -2.49828E-09
468 -46.7 -2.52752E-09
469 -46.8 -2.55681E-09
470 -46.9 -2.58822E-09
471 -47 -2.61848E-09
472 -47.1 -2.64711E-09
473 -47.2 -2.67159E-09
474 -47.3 -2.69234E-09
475 -47.4 -2.71091E-09
476 -47.5 -2.72761E-09
477 -47.6 -2.74859E-09
478 -47.7 -2.76912E-09
479 -47.8 -2.78898E-09
480 -47.9 -2.81203E-09
481 -48 -2.83695E-09
482 -48.1 -2.86885E-09
483 -48.2 -2.90322E-09
484 -48.3 -2.9401E-09
485 -48.4 -2.97546E-09
486 -48.5 -3.01318E-09
487 -48.6 -3.05073E-09
488 -48.7 -3.08938E-09
489 -48.8 -3.12683E-09
490 -48.9 -3.16067E-09
491 -49 -3.19002E-09
492 -49.1 -3.21759E-09
493 -49.2 -3.24577E-09
494 -49.3 -3.27465E-09
495 -49.4 -3.30561E-09
496 -49.5 -3.33775E-09
497 -49.6 -3.37076E-09
498 -49.7 -3.40996E-09
499 -49.8 -3.45534E-09
500 -49.9 -3.49609E-09
501 -50 -3.54457E-09
502 -50.1 -3.59603E-09
503 -50.2 -3.65408E-09
504 -50.3 -3.70816E-09
505 -50.4 -3.75879E-09
506 -50.5 -3.81529E-09
507 -50.6 -3.86458E-09
508 -50.7 -3.90995E-09
509 -50.8 -3.95476E-09
510 -50.9 -3.99762E-09
511 -51 -4.03876E-09
512 -51.1 -4.08424E-09
513 -51.2 -4.13139E-09
514 -51.3 -4.19492E-09
515 -51.4 -4.25102E-09
516 -51.5 -4.31359E-09
517 -51.6 -4.37821E-09
518 -51.7 -4.45195E-09
519 -51.8 -4.52499E-09
520 -51.9 -4.60205E-09
521 -52 -4.67657E-09
522 -52.1 -4.75194E-09
523 -52.2 -4.83139E-09
524 -52.3 -4.90776E-09
525 -52.4 -4.9835E-09
526 -52.5 -5.05587E-09
527 -52.6 -5.13221E-09
528 -52.7 -5.21235E-09
529 -52.8 -5.28905E-09
530 -52.9 -5.3743E-09
531 -53 -5.466E-09
532 -53.1 -5.55938E-09
533 -53.2 -5.65699E-09
534 -53.3 -5.76485E-09
535 -53.4 -5.88388E-09
536 -53.5 -5.99707E-09
537 -53.6 -6.11564E-09
538 -53.7 -6.24677E-09
539 -53.8 -6.37381E-09
540 -53.9 -6.50787E-09
541 -54 -6.64555E-09
542 -54.1 -6.79423E-09
543 -54.2 -6.94206E-09
544 -54.3 -7.09875E-09
545 -54.4 -7.26361E-09
546 -54.5 -7.44705E-09
547 -54.6 -7.63779E-09
548 -54.7 -7.8435E-09
549 -54.8 -8.06569E-09
550 -54.9 -8.32627E-09
551 -55 -8.61109E-09
552 -55.1 -8.93741E-09
553 -55.2 -9.31467E-09
554 -55.3 -9.81396E-09
555 -55.4 -1.052172E-08
556 -55.5 -1.20197E-08
557 -55.6 -1.66837E-08
558 -55.7 -2.93194E-08
559 -55.8 -6.21701E-08
560 -55.9 -1.31867E-07
561 -56 -2.79226E-07
562 -56.1 -4.98811E-07
563 -56.2 -8.25537E-07
564 -56.3 -1.66914E-06
565 -56.4 -2.62539E-06
566 -56.5 -3.83206E-06
567 -56.6 -5.23349E-06
568 -56.7 -6.78522E-06
569 -56.8 -8.49896E-06
570 -56.9 -1.019088E-05
571 -57 -1.20503E-05
572 -57.1 -1.38161E-05
573 -57.2 -1.53985E-05
574 -57.3 -1.70759E-05
575 -57.4 -1.8713E-05
576 -57.5 -2.04997E-05
577 -57.6 -2.21777E-05
578 -57.7 -2.39961E-05
579 -57.8 -2.59034E-05
580 -57.9 -2.79214E-05
581 -58 -2.98026E-05
582 -58.1 -3.20062E-05
583 -58.2 -3.48351E-05
584 -58.3 -3.74271E-05
585 -58.4 -3.98017E-05
586 -58.5 -4.23539E-05
587 -58.6 -4.50342E-05
588 -58.7 -4.8371E-05
589 -58.8 -5.07593E-05
590 -58.9 -5.18501E-05
591 -59 -5.48892E-05
592 -59.1 -5.66217E-05
593 -59.2 -5.85167E-05
594 -59.3 -6.07411E-05
595 -59.4 -6.25078E-05
596 -59.5 -6.49601E-05
597 -59.6 -6.66348E-05
598 -59.7 -6.83492E-05
599 -59.8 -6.78624E-05
600 -59.9 -6.50535E-05
601 -60 -6.34671E-05
602 -60.1 -6.16058E-05
603 -60.2 -6.43295E-05
604 -60.3 -6.57997E-05
605 -60.4 -7.68104E-05
606 -60.5 -7.48247E-05
607 -60.6 -7.99333E-05
608 -60.7 -8.51503E-05
609 -60.8 -8.64832E-05
610 -60.9 -9.39599E-05
611 -61 -9.75447E-05
612 -61.1 -9.99936E-05
613 -61.2 -9.99938E-05
614 -61.3 -9.99927E-05
615 -61.4 -9.99933E-05
616 -61.5 -9.99935E-05
617 -61.6 -9.99934E-05
618 -61.7 -9.99931E-05
619 -61.8 -9.99932E-05
620 -61.9 -9.99932E-05
621 -62 -9.99937E-05
622 -62.1 -9.99935E-05
623 -62.2 -9.99929E-05
624 -62.3 -9.99929E-05
625 -62.4 -9.99933E-05
626 -62.5 -9.99932E-05
627 -62.6 -9.99928E-05
628 -62.7 -9.99935E-05
629 -62.8 -9.99933E-05
630 -62.9 -9.99933E-05
631 -63 -9.99932E-05
632 -63.1 -9.99934E-05
633 -63.2 -9.99935E-05
634 -63.3 -9.99932E-05
635 -63.4 -9.9993E-05
636 -63.5 -9.9993E-05
637 -63.6 -9.99935E-05
638 -63.7 -9.99935E-05
639 -63.8 -9.99931E-05
640 -63.9 -9.9993E-05
641 -64 -9.99935E-05
642 -64.1 -9.99933E-05
643 -64.2 -9.99937E-05
644 -64.3 -9.99934E-05
645 -64.4 -9.99933E-05
646 -64.5 -9.99932E-05
647 -64.6 -9.99932E-05
648 -64.7 -9.99936E-05
649 -64.8 -9.99933E-05
650 -64.9 -9.99937E-05
651 -65 -9.99935E-05
