
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 9.8E-13
2 -0.1 -7.8E-13
3 -0.2 -8.7E-13
4 -0.3 -2.92E-12
5 -0.4 -2.64E-12
6 -0.5 -2.68E-12
7 -0.6 -1.62E-12
8 -0.7 -1.65E-12
9 -0.8 -1.81E-12
10 -0.9 -2.18E-12
11 -1 -4.2E-12
12 -1.1 -3.92E-12
13 -1.2 -3.9E-12
14 -1.3 -2.82E-12
15 -1.4 -3.02E-12
16 -1.5 -3.2E-12
17 -1.6 -3.12E-12
18 -1.7 -3.53E-12
19 -1.8 -3.88E-12
20 -1.9 -3.7E-12
21 -2 -4.18E-12
22 -2.1 -4.61E-12
23 -2.2 -6.53E-12
24 -2.3 -6.46E-12
25 -2.4 -6.54E-12
26 -2.5 -5.52E-12
27 -2.6 -5.56E-12
28 -2.7 -5.8E-12
29 -2.8 -6.22E-12
30 -2.9 -6.14E-12
31 -3 -6.55E-12
32 -3.1 -6.96E-12
33 -3.2 -6.92E-12
34 -3.3 -7.33E-12
35 -3.4 -7.74E-12
36 -3.5 -7.69E-12
37 -3.6 -8.16E-12
38 -3.7 -8.56E-12
39 -3.8 -8.45E-12
40 -3.9 -8.9E-12
41 -4 -9.37E-12
42 -4.1 -9.27E-12
43 -4.2 -9.75E-12
44 -4.3 -1.013E-11
45 -4.4 -1.009E-11
46 -4.5 -1.057E-11
47 -4.6 -1.096E-11
48 -4.7 -1.091E-11
49 -4.8 -1.143E-11
50 -4.9 -1.186E-11
51 -5 -1.229E-11
52 -5.1 -1.421E-11
53 -5.2 -1.417E-11
54 -5.3 -1.432E-11
55 -5.4 -1.329E-11
56 -5.5 -1.354E-11
57 -5.6 -1.385E-11
58 -5.7 -1.432E-11
59 -5.8 -1.424E-11
60 -5.9 -1.479E-11
61 -6 -1.522E-11
62 -6.1 -1.564E-11
63 -6.2 -1.771E-11
64 -6.3 -1.756E-11
65 -6.4 -1.777E-11
66 -6.5 -1.677E-11
67 -6.6 -1.701E-11
68 -6.7 -1.737E-11
69 -6.8 -1.785E-11
70 -6.9 -1.826E-11
71 -7 -1.819E-11
72 -7.1 -1.876E-11
73 -7.2 -1.924E-11
74 -7.3 -1.924E-11
75 -7.4 -1.979E-11
76 -7.5 -2.026E-11
77 -7.6 -2.027E-11
78 -7.7 -2.081E-11
79 -7.8 -2.132E-11
80 -7.9 -2.179E-11
81 -8 -2.38E-11
82 -8.1 -2.373E-11
83 -8.2 -2.279E-11
84 -8.3 -2.284E-11
85 -8.4 -2.371E-11
86 -8.5 -2.558E-11
87 -8.6 -2.56E-11
88 -8.7 -2.46E-11
89 -8.8 -2.479E-11
90 -8.9 -2.517E-11
91 -9 -2.569E-11
92 -9.1 -2.62E-11
93 -9.2 -2.674E-11
94 -9.3 -2.866E-11
95 -9.4 -2.859E-11
96 -9.5 -2.767E-11
97 -9.6 -2.786E-11
98 -9.7 -2.881E-11
99 -9.8 -3.064E-11
100 -9.9 -3.068E-11
101 -10 -2.961E-11
102 -10.1 -3.005E-11
103 -10.2 -3.04E-11
104 -10.3 -3.095E-11
105 -10.4 -3.163E-11
106 -10.5 -3.208E-11
107 -10.6 -3.397E-11
108 -10.7 -3.388E-11
109 -10.8 -3.291E-11
110 -10.9 -3.345E-11
111 -11 -3.43E-11
112 -11.1 -3.602E-11
113 -11.2 -3.61E-11
114 -11.3 -3.511E-11
115 -11.4 -3.561E-11
116 -11.5 -3.648E-11
117 -11.6 -3.845E-11
118 -11.7 -3.848E-11
119 -11.8 -3.891E-11
120 -11.9 -3.825E-11
121 -12 -3.907E-11
122 -12.1 -4.072E-11
123 -12.2 -4.093E-11
124 -12.3 -4.125E-11
125 -12.4 -4.056E-11
126 -12.5 -4.128E-11
127 -12.6 -4.311E-11
128 -12.7 -4.326E-11
129 -12.8 -4.365E-11
130 -12.9 -4.295E-11
131 -13 -4.371E-11
132 -13.1 -4.545E-11
133 -13.2 -4.571E-11
134 -13.3 -4.612E-11
135 -13.4 -4.529E-11
136 -13.5 -4.623E-11
137 -13.6 -4.63E-11
138 -13.7 -4.692E-11
139 -13.8 -4.764E-11
140 -13.9 -4.821E-11
141 -14 -5.003E-11
142 -14.1 -5.014E-11
143 -14.2 -4.949E-11
144 -14.3 -5.041E-11
145 -14.4 -5.031E-11
146 -14.5 -5.122E-11
147 -14.6 -5.175E-11
148 -14.7 -5.245E-11
149 -14.8 -5.266E-11
150 -14.9 -5.344E-11
151 -15 -5.401E-11
152 -15.1 -5.444E-11
153 -15.2 -5.507E-11
154 -15.3 -5.572E-11
155 -15.4 -5.609E-11
156 -15.5 -5.673E-11
157 -15.6 -5.749E-11
158 -15.7 -5.77E-11
159 -15.8 -5.847E-11
160 -15.9 -5.898E-11
161 -16 -5.962E-11
162 -16.1 -6.023E-11
163 -16.2 -6.09E-11
164 -16.3 -6.12E-11
165 -16.4 -6.206E-11
166 -16.5 -6.262E-11
167 -16.6 -6.299E-11
168 -16.7 -6.375E-11
169 -16.8 -6.439E-11
170 -16.9 -6.48E-11
171 -17 -6.566E-11
172 -17.1 -6.62E-11
173 -17.2 -6.667E-11
174 -17.3 -6.742E-11
175 -17.4 -6.804E-11
176 -17.5 -6.853E-11
177 -17.6 -6.932E-11
178 -17.7 -6.995E-11
179 -17.8 -7.051E-11
180 -17.9 -7.125E-11
181 -18 -7.193E-11
182 -18.1 -7.23E-11
183 -18.2 -7.311E-11
184 -18.3 -7.397E-11
185 -18.4 -7.44E-11
186 -18.5 -7.522E-11
187 -18.6 -7.573E-11
188 -18.7 -7.635E-11
189 -18.8 -7.708E-11
190 -18.9 -7.781E-11
191 -19 -7.834E-11
192 -19.1 -7.896E-11
193 -19.2 -7.996E-11
194 -19.3 -8.032E-11
195 -19.4 -8.111E-11
196 -19.5 -8.197E-11
197 -19.6 -8.246E-11
198 -19.7 -8.327E-11
199 -19.8 -8.364E-11
200 -19.9 -8.467E-11
201 -20 -8.521E-11
202 -20.1 -8.581E-11
203 -20.2 -8.647E-11
204 -20.3 -8.741E-11
205 -20.4 -8.814E-11
206 -20.5 -8.884E-11
207 -20.6 -8.965E-11
208 -20.7 -9.029E-11
209 -20.8 -9.11E-11
210 -20.9 -9.196E-11
211 -21 -9.232E-11
212 -21.1 -9.333E-11
213 -21.2 -9.407E-11
214 -21.3 -9.462E-11
215 -21.4 -9.547E-11
216 -21.5 -9.651E-11
217 -21.6 -9.708E-11
218 -21.7 -9.792E-11
219 -21.8 -9.838E-11
220 -21.9 -9.932E-11
221 -22 -1.0023E-10
222 -22.1 -1.0074E-10
223 -22.2 -1.0179E-10
224 -22.3 -1.0264E-10
225 -22.4 -1.0317E-10
226 -22.5 -1.0409E-10
227 -22.6 -1.0492E-10
228 -22.7 -1.0581E-10
229 -22.8 -1.0664E-10
230 -22.9 -1.0705E-10
231 -23 -1.0816E-10
232 -23.1 -1.0907E-10
233 -23.2 -1.0984E-10
234 -23.3 -1.1064E-10
235 -23.4 -1.1169E-10
236 -23.5 -1.1244E-10
